pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,age_diff,age_equal,education_diff,education_equal,industry_diff,industry_equal,marital_status_diff,marital_status_equal,sex_diff,sex_equal,overall_similarity
524,0,,,22.315913604421397,34.0,0.8664247124534599,19.0,0,4.0,0,0.0,0,0.0,1,0.0,1,0.4
629,0,,,40994.01035517262,41031.0,0.11455259467206458,28.0,0,8.0,0,40994.0,0,1.0,0,0.0,1,0.2
357,1,1097.0,853.0,47.07440918375928,56.0,0.9415442292482866,46.0,0,0.0,1,0.0,0,0.0,1,0.0,1,0.6
83,1,95.0,162.0,14099.005106744235,14111.0,0.07039484270224794,0.0,1,12.0,0,14099.0,0,0.0,1,0.0,1,0.6
503,0,,,79107.00551784273,79148.0,0.05293744330323413,26.0,0,14.0,0,79107.0,0,0.0,1,1.0,0,0.2
7,1,296.0,14.0,8.660254037844387,13.0,0.9052343458575142,1.0,0,7.0,0,0.0,0,0.0,1,0.0,1,0.4
368,1,1280.0,916.0,57.14017850864661,61.0,0.9325066645645268,57.0,0,0.0,1,0.0,0,0.0,1,0.0,1,0.6
44,1,21.0,82.0,14.866068747318506,21.0,0.9491028731317481,0.0,1,11.0,0,0.0,0,0.0,1,0.0,1,0.6
10,1,526.0,19.0,47412.00151860286,47424.0,0.042040311228425,0.0,1,12.0,0,47412.0,0,0.0,1,0.0,1,0.6
530,0,,,58.42944463196617,66.0,0.9537273413985768,58.0,0,1.0,0,0.0,0,0.0,1,0.0,1,0.4
408,0,,,12.68857754044952,17.0,0.9963286221659171,12.0,0,0.0,1,0.0,0,0.0,1,1.0,0,0.4
94,1,640.0,181.0,47592.00067238191,47600.0,0.13282266163134737,0.0,1,8.0,0,47592.0,0,0.0,1,0.0,1,0.6
651,0,,,32.155870381627054,38.0,0.8926521282324409,32.0,0,0.0,0,0.0,0,1.0,0,1.0,0,0.0
71,1,649.0,133.0,8.602325267042627,12.0,0.9204833223453881,3.0,0,8.0,0,0.0,0,0.0,1,0.0,1,0.4
485,0,,,15.264337522473747,25.0,0.8192871205915672,5.0,0,12.0,0,0.0,0,0.0,1,0.0,1,0.4
293,1,38.0,660.0,49.02040391510457,51.0,0.9111164611312217,49.0,0,1.0,0,0.0,0,0.0,1,0.0,1,0.4
109,1,639.0,215.0,13.92838827718412,24.0,0.8444362860071303,7.0,0,8.0,0,0.0,0,0.0,1,0.0,1,0.4
114,1,1104.0,220.0,9.695359714832659,14.0,0.9883661902046813,2.0,0,3.0,0,0.0,0,0.0,1,0.0,1,0.4
449,0,,,17.4928556845359,24.0,0.9963554731228281,16.0,0,7.0,0,0.0,0,0.0,1,0.0,1,0.4
467,0,,,13.490737563232042,24.0,0.9450440833958292,4.0,0,9.0,0,0.0,0,0.0,1,2.0,0,0.2
1,1,129.0,3.0,17.46424919657298,27.0,0.8362783211323328,14.0,0,0.0,0,0.0,0,0.0,1,0.0,1,0.4
