anon_index,max_attack_score,mean_attack_score,pair_count,risk_level,ml_risk_component,internal_risk_component,uniqueness_risk_component,final_risk_score,final_risk_level
51.0,0.8814963895549752,0.8814963895549752,1,low,0.920374150648603,0.0,0.0,46.01870753243015,high
52.0,0.9191059047463104,0.9191059047463104,1,low,0.9631531263169925,0.0,0.0,48.15765631584962,high
53.0,0.9175059907912692,0.9175059907912692,1,low,0.9613333028014266,0.0,0.0,48.06666514007133,high
54.0,0.9398125787439392,0.9398125787439392,1,medium,0.986705950611891,0.0,0.0,49.33529753059455,high
55.0,0.946729249134779,0.946729249134779,1,high,0.9945733233459106,0.0,0.0,49.72866616729553,high
56.0,0.2485197931076722,0.2485197931076722,1,low,0.2003943721185756,0.0,0.0,10.01971860592878,low
57.0,0.9200260863409724,0.9200260863409724,1,medium,0.9641997876697986,0.0,0.0,48.20998938348993,high
58.0,0.932988578762158,0.932988578762158,1,medium,0.9789439859150166,0.0,0.0,48.947199295750835,high
59.0,0.8643452834538405,0.8643452834538405,1,low,0.9008656101408687,0.0,0.0,45.043280507043434,high
60.0,0.9394543835098936,0.9394543835098936,1,medium,0.9862985211323082,0.0,0.0,49.31492605661541,high
61.0,0.8125338352144779,0.8125338352144779,1,low,0.8419326334114489,0.0,0.0,42.09663167057244,high
62.0,0.932147753133828,0.932147753133828,1,medium,0.9779875880749302,0.0,0.0,48.899379403746515,high
63.0,0.7837693205390571,0.7837693205390571,1,low,0.8092144112500433,0.0,0.0,40.46072056250217,high
64.0,0.5177235705612404,0.5177235705612404,1,low,0.5066004422297364,0.0,0.0,25.330022111486823,moderate
65.0,0.9417375658048918,0.9417375658048918,1,high,0.9888955288136709,0.0,0.0,49.44477644068355,high
66.0,0.936339888364997,0.936339888364997,1,medium,0.9827559359289354,0.0,0.0,49.13779679644677,high
67.0,0.8973869597291766,0.8973869597291766,1,low,0.9384488934731425,0.0,0.0,46.922444673657125,high
68.0,0.3794436583614617,0.3794436583614617,1,low,0.34931383618531087,0.0,0.0,17.465691809265543,low
69.0,0.8423845393151158,0.8423845393151158,1,low,0.8758863426764831,0.0,0.0,43.79431713382416,high
70.0,0.919062955200896,0.919062955200896,1,low,0.9631042733193161,0.0,0.0,48.15521366596581,high
71.0,0.901196693331081,0.901196693331081,1,low,0.9427822782623317,0.0,0.0,47.13911391311659,high
72.0,0.5841872746129716,0.5841872746129716,1,low,0.5821996400389947,0.0,0.0,29.109982001949735,moderate
73.0,0.949954766117694,0.949954766117694,1,critical,0.9982421904352128,0.0,0.0,49.91210952176064,high
74.0,0.9377567954809116,0.9377567954809116,1,medium,0.9843675981566379,0.0,0.0,49.218379907831896,high
75.0,0.6412984562540847,0.6412984562540847,1,low,0.6471608031220282,0.0,0.0,32.35804015610141,moderate
76.0,0.8612808360039209,0.8612808360039209,1,low,0.8973799517315475,0.0,0.0,44.86899758657737,high
77.0,0.9144972707187412,0.9144972707187412,1,low,0.9579110315458449,0.0,0.0,47.895551577292245,high
78.0,0.8506498488714315,0.8506498488714315,1,low,0.8852877261987785,0.0,0.0,44.26438630993893,high
79.0,0.747555675284528,0.747555675284528,1,low,0.7680231690517365,0.0,0.0,38.40115845258683,moderate
80.0,0.8966441814170666,0.8966441814170666,1,low,0.9376040196379147,0.0,0.0,46.88020098189574,high
81.0,0.9318273371603292,0.9318273371603292,1,medium,0.9776231306480175,0.0,0.0,48.88115653240088,high
82.0,0.92751542420085,0.92751542420085,1,medium,0.9727185415130778,0.0,0.0,48.63592707565389,high
83.0,0.9294789748344392,0.9294789748344392,1,medium,0.9749519838839945,0.0,0.0,48.74759919419972,high
84.0,0.481916767914315,0.481916767914315,1,low,0.4658719635082518,0.0,0.0,23.29359817541259,moderate
85.0,0.9329637083149004,0.9329637083149004,1,medium,0.9789156970032165,0.0,0.0,48.94578485016082,high
86.0,0.926264578769727,0.926264578769727,1,medium,0.9712957662927459,0.0,0.0,48.5647883146373,high
87.0,0.9284581859830636,0.9284581859830636,1,medium,0.9737908867197954,0.0,0.0,48.68954433598977,high
88.0,0.9376670093621348,0.9376670093621348,1,medium,0.984265470857975,0.0,0.0,49.21327354289875,high
89.0,0.9398294624813816,0.9398294624813816,1,medium,0.9867251550336861,0.0,0.0,49.3362577516843,high
90.0,0.8425297943525026,0.8425297943525026,1,low,0.8760515631447202,0.0,0.0,43.80257815723601,high
91.0,0.9342531137289892,0.9342531137289892,1,medium,0.980382332309611,0.0,0.0,49.01911661548055,high
92.0,0.8643737472159932,0.8643737472159932,1,low,0.9008979862718124,0.0,0.0,45.04489931359062,high
93.0,0.7749339180242675,0.7749339180242675,1,low,0.7991645749977618,0.0,0.0,39.95822874988809,moderate
94.0,0.9508584461482738,0.9508584461482738,1,critical,0.9992700820696439,0.0,0.0,49.963504103482194,high
95.0,0.8639407239395904,0.8639407239395904,1,low,0.9004054435705613,0.0,0.0,45.02027217852807,high
96.0,0.9480502473644274,0.9480502473644274,1,high,0.9960758939277601,0.0,0.0,49.803794696388,high
97.0,0.913626603565953,0.913626603565953,1,low,0.9569206904378859,0.0,0.0,47.846034521894296,high
98.0,0.9515001599588838,0.9515001599588838,1,critical,1.0,0.0,0.0,50.0,high
99.0,0.2977469722247344,0.2977469722247344,1,low,0.25638786969382305,0.0,0.0,12.819393484691153,low
