pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,age_diff,age_equal,education_match,marital_status_match,sex_match,ethnicity_match,religion_match,overall_similarity
21,1,40.0,40.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
22,1,43.0,43.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
23,1,44.0,44.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
24,1,45.0,45.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
25,1,47.0,47.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
26,1,49.0,49.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
27,1,51.0,51.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
28,1,54.0,54.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
29,1,56.0,56.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
30,1,31.0,60.0,18.0,18.0,1.0,18.0,0,1,1,1,1,1,0.8333333333333334
31,1,61.0,61.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
32,1,63.0,63.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
33,1,64.0,64.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
34,1,65.0,65.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
35,1,69.0,69.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
36,1,70.0,70.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
37,1,71.0,71.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
38,1,73.0,73.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
39,1,76.0,74.0,13.0,13.0,1.0,13.0,0,0,1,1,1,1,0.6666666666666666
40,1,80.0,75.0,15.0,15.0,1.0,15.0,0,0,1,1,1,1,0.6666666666666666
41,1,4.0,85.0,7.0,7.0,1.0,7.0,0,0,1,1,0,1,0.5
42,1,22.0,88.0,2.0,2.0,1.0,2.0,0,0,1,1,1,0,0.5
43,1,75.0,93.0,13.0,13.0,1.0,13.0,0,1,1,1,0,0,0.5
44,1,1.0,1.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
45,1,5.0,5.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
46,1,8.0,8.0,0.0,0.0,1.0,0.0,1,1,0,1,1,1,0.8333333333333334
47,1,12.0,12.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
48,1,14.0,14.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
49,1,17.0,17.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
50,1,18.0,18.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
51,1,21.0,21.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
52,1,42.0,22.0,6.0,6.0,1.0,6.0,0,0,1,1,1,1,0.6666666666666666
53,1,23.0,23.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
54,1,25.0,25.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
55,1,27.0,27.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
56,1,28.0,28.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1.0
57,1,29.0,29.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
58,1,32.0,32.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
59,1,35.0,35.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
60,1,36.0,36.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
61,1,37.0,37.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
62,1,39.0,39.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
63,1,41.0,41.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
64,1,52.0,42.0,1.0,1.0,1.0,1.0,0,1,1,1,1,1,0.8333333333333334
65,1,46.0,46.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
66,1,48.0,48.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
67,1,50.0,50.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
68,1,53.0,52.0,1.0,1.0,1.0,1.0,0,0,1,1,1,1,0.6666666666666666
69,1,59.0,53.0,65.0,65.0,1.0,65.0,0,1,0,1,1,1,0.6666666666666666
70,1,55.0,55.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
71,1,57.0,57.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
72,1,58.0,58.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
73,1,62.0,62.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
74,1,66.0,66.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
75,1,67.0,67.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
76,1,68.0,68.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
77,1,72.0,72.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
78,1,81.0,76.0,14.0,14.0,1.0,14.0,0,0,1,1,1,1,0.6666666666666666
79,1,77.0,87.0,0.0,0.0,1.0,0.0,1,0,1,1,1,0,0.6666666666666666
80,0,,,18.0,18.0,1.0,18.0,0,0,1,1,1,1,0.6666666666666666
81,0,,,15.0,15.0,1.0,15.0,0,0,1,1,0,0,0.3333333333333333
82,0,,,2.0,2.0,1.0,2.0,0,0,1,1,1,0,0.5
83,0,,,38.0,38.0,1.0,38.0,0,0,1,1,1,1,0.6666666666666666
84,0,,,38.0,38.0,1.0,38.0,0,0,1,1,1,1,0.6666666666666666
85,0,,,25.0,25.0,1.0,25.0,0,0,1,1,1,1,0.6666666666666666
86,0,,,18.0,18.0,1.0,18.0,0,0,1,1,1,1,0.6666666666666666
87,0,,,52.0,52.0,1.0,52.0,0,1,1,1,1,0,0.6666666666666666
88,0,,,15.0,15.0,1.0,15.0,0,1,1,0,1,1,0.6666666666666666
89,0,,,15.0,15.0,1.0,15.0,0,0,1,1,1,1,0.6666666666666666
90,0,,,36.0,36.0,1.0,36.0,0,0,1,1,1,1,0.6666666666666666
91,0,,,45.0,45.0,1.0,45.0,0,1,0,1,1,1,0.6666666666666666
92,0,,,18.0,18.0,1.0,18.0,0,1,1,1,1,0,0.6666666666666666
93,0,,,28.0,28.0,1.0,28.0,0,1,1,1,1,0,0.6666666666666666
94,0,,,22.0,22.0,1.0,22.0,0,0,1,1,1,1,0.6666666666666666
95,0,,,21.0,21.0,1.0,21.0,0,0,0,0,0,0,0.0
96,0,,,9.0,9.0,1.0,9.0,0,0,1,1,1,1,0.6666666666666666
97,0,,,45.0,45.0,1.0,45.0,0,1,1,1,1,0,0.6666666666666666
98,0,,,36.0,36.0,1.0,36.0,0,0,1,1,1,1,0.6666666666666666
99,0,,,24.0,24.0,1.0,24.0,0,0,1,1,1,1,0.6666666666666666
100,0,,,1.0,1.0,1.0,1.0,0,0,0,1,1,1,0.5
101,0,,,36.0,36.0,1.0,36.0,0,0,1,1,1,1,0.6666666666666666
102,0,,,38.0,38.0,1.0,38.0,0,0,1,1,1,1,0.6666666666666666
103,0,,,33.0,33.0,1.0,33.0,0,0,1,1,1,1,0.6666666666666666
104,0,,,58.0,58.0,1.0,58.0,0,0,0,1,0,0,0.16666666666666666
105,0,,,1.0,1.0,1.0,1.0,0,0,1,1,1,0,0.5
106,0,,,0.0,0.0,1.0,0.0,1,0,1,0,1,1,0.6666666666666666
107,0,,,0.0,0.0,1.0,0.0,1,0,1,1,1,0,0.6666666666666666
108,0,,,2.0,2.0,1.0,2.0,0,0,1,0,1,1,0.5
109,0,,,13.0,13.0,1.0,13.0,0,1,1,0,1,1,0.6666666666666666
110,0,,,24.0,24.0,1.0,24.0,0,0,1,1,1,1,0.6666666666666666
111,0,,,43.0,43.0,1.0,43.0,0,0,1,1,1,1,0.6666666666666666
112,0,,,16.0,16.0,1.0,16.0,0,0,1,1,1,1,0.6666666666666666
113,0,,,15.0,15.0,1.0,15.0,0,0,1,1,1,1,0.6666666666666666
114,0,,,41.0,41.0,1.0,41.0,0,1,0,1,1,1,0.6666666666666666
115,0,,,12.0,12.0,1.0,12.0,0,0,1,1,1,1,0.6666666666666666
116,0,,,25.0,25.0,1.0,25.0,0,0,1,1,1,1,0.6666666666666666
117,0,,,34.0,34.0,1.0,34.0,0,0,1,1,1,1,0.6666666666666666
118,0,,,50.0,50.0,1.0,50.0,0,1,1,0,1,1,0.6666666666666666
119,0,,,57.0,57.0,1.0,57.0,0,0,0,1,0,0,0.16666666666666666
120,0,,,0.0,0.0,1.0,0.0,1,0,1,0,1,1,0.6666666666666666
121,0,,,30.0,30.0,1.0,30.0,0,1,1,1,1,0,0.6666666666666666
122,0,,,14.0,14.0,1.0,14.0,0,0,1,1,1,1,0.6666666666666666
123,0,,,5.0,5.0,1.0,5.0,0,0,1,1,1,0,0.5
124,0,,,12.0,12.0,1.0,12.0,0,0,1,1,1,1,0.6666666666666666
125,0,,,45.0,45.0,1.0,45.0,0,1,0,1,1,1,0.6666666666666666
126,0,,,13.0,13.0,1.0,13.0,0,1,1,0,1,1,0.6666666666666666
127,0,,,3.0,3.0,1.0,3.0,0,0,0,1,1,1,0.5
128,0,,,4.0,4.0,1.0,4.0,0,1,0,1,0,1,0.5
129,0,,,1.0,1.0,1.0,1.0,0,0,1,1,0,0,0.3333333333333333
130,0,,,30.0,30.0,1.0,30.0,0,1,1,1,1,0,0.6666666666666666
131,0,,,34.0,34.0,1.0,34.0,0,0,1,1,1,1,0.6666666666666666
132,0,,,59.0,59.0,1.0,59.0,0,1,1,0,1,1,0.6666666666666666
133,0,,,23.0,23.0,1.0,23.0,0,0,1,1,1,1,0.6666666666666666
134,0,,,17.0,17.0,1.0,17.0,0,1,1,1,1,0,0.6666666666666666
135,0,,,42.0,42.0,1.0,42.0,0,1,0,1,1,1,0.6666666666666666
136,0,,,2.0,2.0,1.0,2.0,0,0,1,0,1,1,0.5
137,0,,,12.0,12.0,1.0,12.0,0,0,1,1,1,1,0.6666666666666666
138,0,,,31.0,31.0,1.0,31.0,0,1,0,1,1,1,0.6666666666666666
139,0,,,0.0,0.0,1.0,0.0,1,0,1,0,1,1,0.6666666666666666
140,0,,,33.0,33.0,1.0,33.0,0,0,1,1,1,1,0.6666666666666666
141,0,,,31.0,31.0,1.0,31.0,0,1,0,1,1,1,0.6666666666666666
142,0,,,59.0,59.0,1.0,59.0,0,1,1,0,1,1,0.6666666666666666
143,0,,,38.0,38.0,1.0,38.0,0,0,1,1,1,1,0.6666666666666666
144,0,,,19.0,19.0,1.0,19.0,0,0,1,1,1,1,0.6666666666666666
145,0,,,19.0,19.0,1.0,19.0,0,1,1,1,1,0,0.6666666666666666
146,0,,,0.0,0.0,1.0,0.0,1,0,1,0,1,1,0.6666666666666666
147,0,,,36.0,36.0,1.0,36.0,0,0,1,1,1,1,0.6666666666666666
148,0,,,21.0,21.0,1.0,21.0,0,0,1,1,1,1,0.6666666666666666
149,0,,,23.0,23.0,1.0,23.0,0,0,1,1,1,1,0.6666666666666666
150,0,,,0.0,0.0,1.0,0.0,1,1,1,1,0,0,0.6666666666666666
151,0,,,38.0,38.0,1.0,38.0,0,0,1,1,1,1,0.6666666666666666
152,0,,,23.0,23.0,1.0,23.0,0,0,1,1,1,1,0.6666666666666666
153,0,,,42.0,42.0,1.0,42.0,0,0,1,1,1,1,0.6666666666666666
154,0,,,0.0,0.0,1.0,0.0,1,0,1,0,1,1,0.6666666666666666
155,0,,,43.0,43.0,1.0,43.0,0,0,1,1,1,1,0.6666666666666666
156,0,,,37.0,37.0,1.0,37.0,0,0,1,1,1,1,0.6666666666666666
157,0,,,43.0,43.0,1.0,43.0,0,0,1,1,1,1,0.6666666666666666
158,0,,,35.0,35.0,1.0,35.0,0,1,0,1,1,1,0.6666666666666666
159,0,,,0.0,0.0,1.0,0.0,1,0,1,1,0,1,0.6666666666666666
