pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,education_diff,education_equal,marital_status_diff,marital_status_equal,sex_diff,sex_equal,age_match,industry_match,overall_similarity,industry_diff,industry_equal,education_match,attack_score
50,1,50.0,50.0,1.4142135623730951,2.0,0.9961359100851456,1.0,0.0,1.0,0,0.0,1,0,0.0,0.2,0.0,0.0,0.0,0.8979024192625774
51,1,51.0,51.0,49233.000111713685,49238.0,-0.1070021941833252,1.0,0.0,3.0,0,1.0,0,0,0.0,0.0,49233.0,0.0,0.0,0.9654624068381911
52,1,52.0,52.0,18221.00016464519,18225.0,0.9999999798068496,2.0,0.0,1.0,0,1.0,0,0,0.0,0.0,18221.0,0.0,0.0,0.9379721302875451
53,1,53.0,53.0,12800.00324218709,12811.0,0.9999999886097176,9.0,0.0,1.0,0,1.0,0,0,0.0,0.0,12800.0,0.0,0.0,0.9255126220793182
54,1,54.0,54.0,4.123105625617661,5.0,0.9969405307028008,4.0,0.0,1.0,0,0.0,1,0,0.0,0.2,0.0,0.0,0.0,0.9332990425018344
55,1,55.0,55.0,2.449489742783178,4.0,0.9542374472273958,2.0,0.0,1.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.9639548662555288
56,1,56.0,56.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.18865700067911792
57,1,57.0,57.0,35131.000042697335,35134.0,0.9999998257122552,1.0,0.0,1.0,0,1.0,0,0,0.0,0.0,35131.0,0.0,0.0,0.9501950675670404
58,1,58.0,58.0,10506.000475918512,10510.0,-0.0605216176475011,3.0,0.0,1.0,0,0.0,1,0,0.0,0.2,10506.0,0.0,0.0,0.9216282385763482
59,1,59.0,59.0,10.0,10.0,0.1400280084028009,10.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.9291611852655844
60,1,60.0,60.0,8.602325267042627,12.0,0.9931695968516404,8.0,0.0,3.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.9553249495003259
61,1,61.0,61.0,47114.00004245023,47116.0,-0.1888338179161703,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,47114.0,0.0,0.0,0.8520333180149544
62,1,62.0,62.0,46413.00021545688,46419.0,-0.1002309282906228,4.0,0.0,2.0,0,0.0,1,0,0.0,0.2,46413.0,0.0,0.0,0.9615262486627709
63,1,63.0,63.0,8.0,8.0,0.9551668842409458,8.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.9294762004915135
64,1,64.0,64.0,4.0,4.0,0.9961017296304552,4.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.7355247987859443
65,1,65.0,65.0,1.7320508075688772,3.0,0.986581038661854,1.0,0.0,1.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.9532586161828397
66,1,66.0,66.0,4.242640687119285,6.0,0.9984038297885895,4.0,0.0,1.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.9512833484011164
67,1,67.0,67.0,3.3166247903554,5.0,0.9999999977299046,3.0,0.0,1.0,0,1.0,0,0,0.0,0.2,0.0,1.0,0.0,0.8990683961525013
68,1,68.0,68.0,3.0,3.0,0.9941348467724342,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.38799477511755937
69,1,69.0,69.0,41003.00010974806,41006.0,-0.0954602489118416,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,41003.0,0.0,0.0,0.8708676505733347
70,1,70.0,70.0,55104.000018147504,55106.0,-0.1089247947872467,1.0,0.0,1.0,0,0.0,1,0,0.0,0.2,55104.0,0.0,0.0,0.95840297525984
71,1,71.0,71.0,41003.00002438846,41005.0,-0.0805257825951051,1.0,0.0,0.0,1,1.0,0,0,0.0,0.2,41003.0,0.0,0.0,0.9535351980502725
72,1,72.0,72.0,4.0,4.0,0.9959289952477496,4.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.7516316566931018
73,1,73.0,73.0,5.0990195135927845,6.0,0.9912407071619304,5.0,0.0,1.0,0,0.0,1,0,0.0,0.2,0.0,0.0,0.0,0.9472701178232866
74,1,74.0,74.0,3.1622776601683795,4.0,0.6507913734559685,0.0,0.0,3.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.9630724274030463
75,1,75.0,75.0,7508.003329780828,7516.0,0.999999993346269,7.0,0.0,0.0,1,1.0,0,0,0.0,0.2,7508.0,0.0,0.0,0.7681390886217279
76,1,76.0,76.0,2.23606797749979,3.0,0.9945274832335644,2.0,0.0,0.0,1,1.0,0,0,0.0,0.2,0.0,0.0,0.0,0.914978992308712
77,1,77.0,77.0,5.0990195135927845,6.0,0.995403900013586,5.0,0.0,0.0,1,1.0,0,0,0.0,0.2,0.0,0.0,0.0,0.9552352865484209
78,1,78.0,78.0,10.0,10.0,0.5819143739626463,10.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.9214662589481636
79,1,79.0,79.0,14102.000567295408,14106.0,-0.1213203390719528,4.0,0.0,0.0,1,0.0,1,0,0.0,0.4,14102.0,0.0,0.0,0.7990708334299249
80,1,80.0,80.0,47592.00002101193,47594.0,-0.1311353691312682,1.0,0.0,0.0,1,1.0,0,0,0.0,0.2,47592.0,0.0,0.0,0.9559072529450908
81,1,81.0,81.0,64192.00003894566,64195.0,-0.0814893875646336,2.0,0.0,1.0,0,0.0,1,0,0.0,0.2,64192.0,0.0,0.0,0.9606079858538271
82,1,82.0,82.0,17078.00032205176,17083.0,0.9999999995422288,3.0,0.0,1.0,0,1.0,0,0,0.0,0.0,17078.0,0.0,0.0,0.9367151917984423
83,1,83.0,83.0,84131.00010697602,84137.0,-0.1070570555474819,4.0,0.0,1.0,0,1.0,0,0,0.0,0.0,84131.0,0.0,0.0,0.9664573890082856
84,1,84.0,84.0,36400.000013736266,36401.0,0.9999995194658244,1.0,0.0,0.0,1,0.0,1,0,0.0,0.4,36400.0,0.0,0.0,0.4761731967277438
85,1,85.0,85.0,69202.00007225225,69206.0,-0.0822604956617294,3.0,0.0,0.0,1,1.0,0,0,0.0,0.2,69202.0,0.0,0.0,0.9608308392101113
86,1,86.0,86.0,47919.00006260565,47923.0,0.9999996265697616,2.0,0.0,1.0,0,1.0,0,0,0.0,0.0,47919.0,0.0,0.0,0.95874694293284
87,1,87.0,87.0,49234.00051793476,49243.0,-0.1540463445609723,7.0,0.0,1.0,0,1.0,0,0,0.0,0.0,49234.0,0.0,0.0,0.9659112448364001
88,1,88.0,88.0,10.099504938362076,12.0,0.9666913176095692,10.0,0.0,1.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.9272651599607241
89,1,89.0,89.0,2.23606797749979,3.0,0.9766244823564244,1.0,0.0,2.0,0,0.0,1,0,0.0,0.2,0.0,0.0,0.0,0.9462060836302149
90,1,90.0,90.0,2.0,2.0,0.9601486977992116,0.0,1.0,2.0,0,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.8658090424097313
91,1,91.0,91.0,11.090536506409418,13.0,-0.2390457218668786,11.0,0.0,1.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.927582542853893
92,1,92.0,92.0,2.23606797749979,3.0,0.991741279639108,2.0,0.0,0.0,1,1.0,0,0,0.0,0.2,0.0,0.0,0.0,0.9149861807553181
93,1,93.0,93.0,5.0,5.0,0.9146591207600472,5.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.8985207785546283
94,1,94.0,94.0,6.164414002968976,8.0,0.8411910241920598,6.0,0.0,1.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.965346072004914
95,1,95.0,95.0,49407.00010120023,49411.0,0.9999999982760744,3.0,0.0,0.0,1,1.0,0,0,0.0,0.2,49407.0,0.0,0.0,0.9063838062840451
96,1,96.0,96.0,5.0990195135927845,8.0,0.9722857292609522,4.0,0.0,3.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.9666169069563418
97,1,97.0,97.0,1.4142135623730951,2.0,0.996765700247014,1.0,0.0,1.0,0,0.0,1,0,0.0,0.2,0.0,0.0,0.0,0.8830239571881698
98,1,98.0,98.0,4.242640687119285,6.0,0.9673753912650253,4.0,0.0,1.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.966098659378923
99,1,99.0,99.0,1.0,1.0,0.9997128499581862,1.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.26129944253546694
100,0,,,3.0,3.0,0.9981149841863164,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.06299799278004165
101,0,,,1.0,1.0,0.9990248656871404,1.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.174250100504176
102,0,,,3.0,3.0,0.9994838709333604,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.052806989515947
103,0,,,2.0,2.0,0.999076724020674,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.04703888985889898
104,0,,,2.0,2.0,0.999076724020674,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.04703888985889898
105,0,,,19979.00010010511,19981.0,0.9999999987929954,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,19979.0,0.0,0.0,0.06048198081883196
106,0,,,3.0,3.0,0.9981149841863164,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.06299799278004165
107,0,,,2300.0034782582397,2304.0,0.9999999940293182,4.0,0.0,0.0,1,0.0,1,0,0.0,0.4,2300.0,0.0,0.0,0.10733651400551884
108,0,,,981.0050968267188,985.0,0.999999999246804,3.0,0.0,1.0,0,0.0,1,0,0.0,0.2,981.0,0.0,0.0,0.40227475439849586
109,0,,,35008.0,35008.0,0.9999999937970012,0.0,1.0,0.0,1,0.0,1,0,0.0,0.6,35008.0,0.0,0.0,0.250803691648686
110,0,,,35879.00001393573,35880.0,0.9999999942017792,1.0,0.0,0.0,1,0.0,1,0,0.0,0.4,35879.0,0.0,0.0,0.31146655194547773
111,0,,,3.0,3.0,0.9994838709333604,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.052806989515947
112,0,,,1.0,1.0,0.9979402655783318,1.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.1428090924076587
113,0,,,2.0,2.0,0.9986054207456784,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.04703888985889898
114,0,,,8220.000547445237,8223.0,0.9999999934723208,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,8220.0,0.0,0.0,0.06707135218277659
115,0,,,10.04987562112089,11.0,0.611052381486151,10.0,0.0,1.0,0,0.0,1,0,0.0,0.2,0.0,0.0,0.0,0.6828614115009146
116,0,,,8231.00012149192,8233.0,0.9999999970401126,1.0,0.0,1.0,0,0.0,1,0,0.0,0.2,8231.0,0.0,0.0,0.46522844377477285
117,0,,,2.0,2.0,0.9986187838711752,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.04703888985889898
118,0,,,19220.000234131112,19223.0,0.999999995739572,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,19220.0,0.0,0.0,0.06342087468077579
119,0,,,2.0,2.0,0.9883173560569456,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.1342030032851123
120,0,,,3.0,3.0,0.9995044352735956,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.05310580098938867
121,0,,,3.0,3.0,0.9995044352735956,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.05310580098938867
122,0,,,10010.00044955044,10013.0,0.9999999998123366,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,10010.0,0.0,0.0,0.06742742800266323
123,0,,,2.0,2.0,0.999076724020674,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.04703888985889898
124,0,,,9.055385138137416,10.0,0.6285393610547089,9.0,0.0,1.0,0,0.0,1,0,0.0,0.2,0.0,0.0,0.0,0.7655381479696025
125,0,,,2.0,2.0,0.9993606137453732,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.04703888985889898
126,0,,,2.0,2.0,0.9968410582470292,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.06193308394830096
127,0,,,23189.0,23189.0,0.9999999932465627,0.0,1.0,0.0,1,0.0,1,0,0.0,0.6,23189.0,0.0,0.0,0.17322360241164383
128,0,,,2.0,2.0,0.999076724020674,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.04703888985889898
129,0,,,2.0,2.0,0.9986054207456784,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.04703888985889898
130,0,,,2.0,2.0,0.9883173560569456,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.1342030032851123
131,0,,,2.0,2.0,0.9964589123924024,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.06723039797083956
132,0,,,35008.0,35008.0,0.9999999937970012,0.0,1.0,0.0,1,0.0,1,0,0.0,0.6,35008.0,0.0,0.0,0.250803691648686
133,0,,,2.0,2.0,0.9964589123924024,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.06723039797083956
134,0,,,3.0,3.0,0.9995044352735956,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.05310580098938867
135,0,,,1.0,1.0,0.997965409896352,1.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.14235407040026637
136,0,,,19979.00010010511,19981.0,0.9999999987929954,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,19979.0,0.0,0.0,0.06048198081883196
137,0,,,23189.0,23189.0,0.9999999932465627,0.0,1.0,0.0,1,0.0,1,0,0.0,0.6,23189.0,0.0,0.0,0.17322360241164383
138,0,,,2.0,2.0,0.9993606137453732,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.04703888985889898
139,0,,,2.0,2.0,0.9992990141526302,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.04703888985889898
140,0,,,12890.00003878976,12891.0,0.9999999551557136,0.0,1.0,0.0,1,1.0,0,0,0.0,0.4,12890.0,0.0,0.0,0.35267954920579064
141,0,,,29995.000066677778,29997.0,0.9999999948722226,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,29995.0,0.0,0.0,0.1490827094220903
142,0,,,9807.001835423504,9813.0,0.9999999978676116,6.0,0.0,0.0,1,0.0,1,0,0.0,0.4,9807.0,0.0,0.0,0.12489939693341857
143,0,,,1.0,1.0,0.9999999997333424,0.0,1.0,0.0,1,1.0,0,0,0.0,0.6,0.0,1.0,0.0,0.19177854679124998
144,0,,,1.0,1.0,0.997965409896352,1.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.14235407040026637
145,0,,,3.0,3.0,0.9994838709333604,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.052806989515947
146,0,,,2.0,2.0,0.9986054207456784,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.04703888985889898
147,0,,,3.0,3.0,0.9981149841863164,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.06299799278004165
148,0,,,1.0,1.0,0.9999999997936276,0.0,1.0,0.0,1,1.0,0,0,0.0,0.6,0.0,1.0,0.0,0.19177854679124998
149,0,,,1.0,1.0,0.9990248656871404,1.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.174250100504176
150,0,,,29995.000066677778,29997.0,0.9999999948722226,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,29995.0,0.0,0.0,0.1490827094220903
151,0,,,33210.000060222825,33212.0,0.9999999994305184,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,33210.0,0.0,0.0,0.18157603958404253
152,0,,,3.0,3.0,0.9981149841863164,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.06299799278004165
153,0,,,2.0,2.0,0.9994056463070784,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.04709166602058234
154,0,,,2.0,2.0,0.9998098045724798,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.06425620587553332
155,0,,,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.18865700067911792
156,0,,,2.0,2.0,0.999076724020674,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.04703888985889898
157,0,,,5888.000849184721,5892.0,0.9999999994430284,3.0,0.0,0.0,1,1.0,0,0,0.0,0.2,5888.0,0.0,0.0,0.6099322277532618
158,0,,,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.18865700067911792
159,0,,,3.0,3.0,0.9981149841863164,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.06299799278004165
160,0,,,2.0,2.0,0.999076724020674,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.04703888985889898
161,0,,,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.18865700067911792
162,0,,,3.0,3.0,0.9981149841863164,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.06299799278004165
163,0,,,2.0,2.0,0.9968410582470292,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.06193308394830096
164,0,,,6895.001160260961,6899.0,0.999999998434994,4.0,0.0,0.0,1,0.0,1,0,0.0,0.4,6895.0,0.0,0.0,0.09355552233062252
165,0,,,391.0319680026174,396.0,0.9999999983210318,5.0,0.0,0.0,1,0.0,1,0,0.0,0.4,391.0,0.0,0.0,0.15138328666731923
166,0,,,2.0,2.0,0.9914573982080404,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.13320874046413017
167,0,,,3.0,3.0,0.9995044352735956,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.05310580098938867
168,0,,,156.00641012471252,158.0,0.9999999955566165,1.0,0.0,1.0,0,0.0,1,0,0.0,0.2,156.0,0.0,0.0,0.49297184553609025
169,0,,,2.0,2.0,0.9994056463070784,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.04709166602058234
170,0,,,1.4142135623730951,2.0,0.99999999497079,1.0,0.0,0.0,1,1.0,0,0,0.0,0.4,0.0,1.0,0.0,0.24249231236434335
