aux_index,anon_index,label,age_diff,age_ratio,age_close,education_diff,education_ratio,education_close,industry_diff,industry_ratio,industry_close,marital_status_diff,marital_status_ratio,marital_status_close,sex_diff,sex_ratio,sex_close,overall_similarity,attack_score
64,107,1,0.03125,1.032258064516129,0,0.75,0.25,0,0.9996983408748116,0.0003016591251885,0,0.0,1.0,1,0.0,1.0,1,0.6438103318250377,0.961892518291093
65,48,1,0.0909090909090909,1.1,0,0.0,1.0,1,0.9991532599491956,0.0008467400508044,0,0.0,1.0,1,0.0,1.0,1,0.7819875298283427,0.9109414944199159
73,654,1,0.2142857142857142,0.7857142857142857,0,0.2857142857142857,0.7142857142857143,0,0.999766518795237,0.000233481204763,0,0.0,1.0,1,0.0,1.0,1,0.7000466962409526,0.9059680473387907
75,523,1,0.0384615384615384,1.04,0,0.1666666666666666,0.8333333333333334,0,,,0,0.0,1.0,1,0.0,1.0,1,0.7589743589743589,0.9432307567980714
77,425,1,0.0,1.0,1,0.0,1.0,1,0.999978492773572,2.150722642807984e-05,0,0.0,1.0,1,1.0,0.0,0,0.6000043014452856,0.9551656925141975
79,515,1,0.1914893617021276,0.8085106382978723,0,0.0,1.0,1,0.9998305479655164,0.0001694520344834,0,0.0,1.0,1,0.0,1.0,1,0.7617360180664712,0.802105558615772
82,511,1,0.0,1.0,1,0.0,1.0,1,0.9999793827185948,2.06172814052739e-05,0,0.0,1.0,1,0.5,0.5,0,0.700004123456281,0.9818565279355398
83,246,1,0.087719298245614,1.0961538461538465,0,0.0,1.0,1,,,0,0.0,1.0,1,0.5,0.5,0,0.6824561403508772,0.9680868552404204
88,101,1,0.1518987341772152,0.8481012658227848,0,0.0,1.0,1,,,0,0.0,1.0,1,0.0,1.0,1,0.769620253164557,0.8812482172348443
92,510,1,0.0344827586206896,0.9655172413793104,0,0.5555555555555556,0.4444444444444444,0,0.9999278387711974,7.216122880263904e-05,0,0.0,1.0,1,0.0,1.0,1,0.6820067694105114,0.9703113133213126
95,199,1,0.0,1.0,1,0.0,1.0,1,,,0,0.0,1.0,1,0.5,0.5,0,0.7,0.9813642278326844
96,725,1,0.0333333333333333,1.0344827586206895,0,0.5714285714285714,0.4285714285714285,0,0.9998745321093244,0.0001254678906756,0,0.0,1.0,1,0.0,1.0,1,0.6790727126257542,0.9723548737676215
97,539,1,0.0847457627118644,0.9152542372881356,0,0.75,0.25,0,,,0,0.0,1.0,1,0.0,1.0,1,0.6330508474576272,0.9218794779310199
99,427,1,0.1,0.9,0,0.7272727272727273,0.2727272727272727,0,0.9998684210526316,0.0001315789473684,0,0.0,1.0,1,0.0,1.0,1,0.6345717703349283,0.8735221232418686
101,706,1,0.0,1.0,1,0.9,0.1,0,0.9999371214185409,6.287858145920228e-05,0,0.0,1.0,1,0.0,1.0,1,0.6200125757162919,0.9730604464085552
105,644,1,0.1489361702127659,1.175,0,0.0,1.0,1,0.9996451727363632,0.0003548272636366,0,0.0,1.0,1,0.0,1.0,1,0.770283731410174,0.9225628063709986
107,803,1,0.04,0.96,0,0.4285714285714285,0.5714285714285714,0,0.9999163372445672,8.366275543285019e-05,0,0.0,1.0,1,0.0,1.0,1,0.7063024468368008,0.9703113133213126
108,984,1,0.2682926829268293,0.7317073170731707,0,0.1666666666666666,0.8333333333333334,0,0.9998742428370816,0.0001257571629184,0,0.0,1.0,1,0.0,1.0,1,0.7130332815138845,0.8685299677254458
109,929,1,0.0357142857142857,0.9642857142857144,0,0.1666666666666666,0.8333333333333334,0,0.999828447665816,0.0001715523341839,0,0.0,1.0,1,0.0,1.0,1,0.7595581199906463,0.9443037545352011
112,865,1,0.0,1.0,1,0.5555555555555556,0.4444444444444444,0,0.9997968346843826,0.0002031653156173,0,0.0,1.0,1,0.0,1.0,1,0.6889295219520124,0.9798749024765253
115,444,1,0.1,0.9,0,0.5,0.5,0,0.9997561035096704,0.0002438964903295,0,0.0,1.0,1,0.0,1.0,1,0.680048779298066,0.9241253970674151
117,530,1,0.0232558139534883,0.9767441860465116,0,0.5,0.5,0,,,0,0.0,1.0,1,0.0,1.0,1,0.6953488372093023,0.9637550650770672
120,543,1,0.0,1.0,1,0.6,0.4,0,0.9999099180254032,9.008197459688316e-05,0,0.0,1.0,1,0.0,1.0,1,0.6800180163949194,0.9775716896760063
123,325,1,0.0,1.0,1,0.9,0.1,0,0.997878359264498,0.0021216407355021,0,0.0,1.0,1,0.0,1.0,1,0.6204243281471005,0.9718217350742742
125,997,1,0.0869565217391304,0.9130434782608696,0,0.75,0.25,0,,,0,0.0,1.0,1,0.0,1.0,1,0.6326086956521739,0.9221723824374194
127,554,1,0.0,1.0,1,0.6,0.4,0,0.999939051643574,6.094835642598838e-05,0,0.0,1.0,1,0.0,1.0,1,0.6800121896712852,0.9758614781673786
129,793,1,0.5,2.0,0,0.0,1.0,1,,,0,0.0,1.0,1,0.0,1.0,1,0.7,0.9545263118095823
133,820,1,0.0,1.0,1,0.875,0.125,0,0.9998008981704756,0.0001991018295245,0,0.0,1.0,1,0.0,1.0,1,0.6250398203659049,0.9760417892756105
134,68,1,0.7777777777777778,4.5,0,0.0,1.0,1,,,0,0.0,1.0,1,0.0,1.0,1,0.6444444444444445,0.9357012400169022
137,854,1,0.032258064516129,1.0333333333333334,0,0.7,0.3,0,0.9999895933064148,1.0406693585314074e-05,0,0.0,1.0,1,0.0,1.0,1,0.6535504684354912,0.9662941709849387
139,167,1,0.0333333333333333,0.9666666666666668,0,0.6,0.4,0,0.9996814398916896,0.0003185601083104,0,0.0,1.0,1,0.0,1.0,1,0.6733970453549954,0.9728330987011461
140,235,1,0.0476190476190476,1.05,0,0.375,0.625,0,,,0,0.0,1.0,1,0.0,1.0,1,0.7154761904761905,0.8565294046982711
144,94,1,0.8378378378378378,6.166666666666667,0,0.0,1.0,1,,,0,0.0,1.0,1,0.0,1.0,1,0.6324324324324324,0.9073206508895341
146,441,1,0.03125,1.032258064516129,0,0.4444444444444444,0.5555555555555556,0,0.9999278387711974,7.216122880263904e-05,0,0.0,1.0,1,0.0,1.0,1,0.7048755433568716,0.9705910497405558
147,463,1,0.0,1.0,1,0.9090909090909092,0.0909090909090909,0,0.9999532119964442,4.678800355588827e-05,0,0.0,1.0,1,0.0,1.0,1,0.6181911757825294,0.9660835281522809
