pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,sector_diff,sector_equal,r2_school_education_match,type_of_school_match,distance_match,overall_similarity,distance_diff,distance_equal,attack_score
89,0,,,1.0,1.0,0.9486832980505138,0.0,1,1,1,0.0,0.75,1.0,0.0,0.17724680006584712
90,0,,,1.0,1.0,1.0,1.0,0,0,1,1.0,0.5,0.0,0.0,0.004813735647964341
91,0,,,8.0,8.0,0.7808688094430304,0.0,1,1,1,0.0,0.75,8.0,0.0,0.0131391288798493
92,0,,,12.0,12.0,0.9833821803872266,0.0,1,1,1,0.0,0.75,12.0,0.0,0.007538396738541665
93,0,,,2.0,2.0,0.8944271909999159,0.0,1,1,1,0.0,0.75,2.0,0.0,0.11386080937382549
94,0,,,3.0,3.0,0.9647638212377322,0.0,1,1,1,0.0,0.75,3.0,0.0,0.1030862272524412
95,0,,,3.0,3.0,0.9877629653290692,0.0,1,1,1,0.0,0.75,3.0,0.0,0.11012441884225861
96,0,,,1.0,1.0,1.0,1.0,0,0,1,1.0,0.5,0.0,0.0,0.004813735647964341
97,0,,,5.0,5.0,0.196116135138184,0.0,1,1,1,0.0,0.75,5.0,0.0,0.005600873699752241
98,0,,,10.0,10.0,0.970142500145332,0.0,1,1,1,0.0,0.75,10.0,0.0,0.012813419680995919
99,0,,,1.0,1.0,0.9486832980505138,1.0,0,1,1,0.0,0.75,0.0,1.0,0.1729490005986777
100,0,,,13.0,13.0,0.922194381828531,0.0,1,1,1,0.0,0.75,13.0,0.0,0.0047826611222644535
101,0,,,1.0,1.0,0.9486832980505138,0.0,1,1,1,0.0,0.75,1.0,0.0,0.17724680006584712
102,0,,,1.0,1.0,0.9647638212377322,1.0,0,1,1,0.0,0.75,0.0,1.0,0.18039443654304463
103,0,,,1.0,1.0,0.9899494936611664,0.0,1,1,1,0.0,0.75,1.0,0.0,0.19751668540397968
104,0,,,1.0,1.0,0.9994801143396996,0.0,1,1,1,0.0,0.75,1.0,0.0,0.20243088836826326
105,0,,,5.0,5.0,0.9909924304103233,0.0,1,1,1,0.0,0.75,5.0,0.0,0.06054140516776646
106,0,,,2.0,2.0,0.8944271909999159,0.0,1,1,1,0.0,0.75,2.0,0.0,0.11386080937382549
107,0,,,1.0,1.0,1.0,1.0,0,0,1,1.0,0.5,0.0,0.0,0.004813735647964341
108,0,,,17.0,17.0,0.8831157194574106,0.0,1,1,1,0.0,0.75,17.0,0.0,0.0014509419518554459
109,0,,,2.0,2.0,0.9785497849867488,0.0,1,1,1,0.0,0.75,2.0,0.0,0.1442902038592056
110,0,,,3.0,3.0,0.8574929257125441,0.0,1,1,1,0.0,0.75,3.0,0.0,0.07535209297100842
111,0,,,19.0,19.0,0.5339929913879817,0.0,1,1,1,0.0,0.75,19.0,0.0,0.0003225781597396201
112,0,,,2.0,2.0,0.9761870601839528,0.0,1,1,1,0.0,0.75,2.0,0.0,0.1433501105847536
113,0,,,11.0,11.0,0.9841270174450972,0.0,1,1,1,0.0,0.75,11.0,0.0,0.01002258538455443
114,0,,,2.0,2.0,0.4472135954999578,0.0,1,1,1,0.0,0.75,2.0,0.0,0.029866819317049053
115,0,,,11.0,11.0,0.9260923597695476,0.0,1,1,1,0.0,0.75,11.0,0.0,0.008465636953063618
116,0,,,2.0,2.0,0.8944271909999159,0.0,1,1,1,0.0,0.75,2.0,0.0,0.11386080937382549
117,0,,,1.0,1.0,1.0,1.0,0,0,1,1.0,0.5,0.0,0.0,0.004813735647964341
118,0,,,3.0,3.0,0.9946917938265512,0.0,1,1,1,0.0,0.75,3.0,0.0,0.11232694840843004
119,0,,,1.0,1.0,0.9647638212377322,1.0,0,1,1,0.0,0.75,0.0,1.0,0.18039443654304463
