pair_index,orig_id,anon_id,label,age_missing,age_diff,age_equal,education_missing,education_diff,education_equal,industry_missing,industry_diff,industry_equal,marital_status_missing,marital_status_diff,marital_status_equal,sex_missing,sex_diff,sex_equal,similarity_score,anon_index,aux_index,attack_score
1089,1089,1089,0,0,21.0,0.0,1,1.0,0.0,1,1.0,0.0,0,1.0,0.0,0,2.0,0.0,0.0,1089,1089,0.4927022768501106
1987,1987,1987,0,0,36.0,0.0,0,14.0,0.0,0,84109.0,0.0,0,2.0,0.0,0,1.0,0.0,0.0,1987,1987,0.5118447542965777
1847,1847,1847,0,0,6.0,0.0,0,0.0,1.0,0,96999.0,0.0,0,2.0,0.0,0,1.0,0.0,0.2,1847,1847,0.5124045192444706
987,987,987,1,0,13.0,0.0,0,1.0,0.0,1,1.0,0.0,0,1.0,0.0,0,2.0,0.0,0.0,987,987,0.5062422060624551
1512,1512,1512,0,0,21.0,0.0,0,9.0,0.0,1,1.0,0.0,0,2.0,0.0,0,1.0,0.0,0.0,1512,1512,0.5082094106217633
111,111,111,1,0,10.0,0.0,0,12.0,0.0,0,42094.0,0.0,0,1.0,0.0,0,2.0,0.0,0.0,111,111,0.5037663881966536
1487,1487,1487,0,0,16.0,0.0,0,11.0,0.0,0,25109.0,0.0,0,2.0,0.0,0,1.0,0.0,0.0,1487,1487,0.507094473278368
1453,1453,1453,0,0,3.0,0.0,0,9.0,0.0,1,1.0,0.0,0,2.0,0.0,0,1.0,0.0,0.0,1453,1453,0.5041216831996697
383,383,383,1,0,18.0,0.0,0,7.0,0.0,0,56101.0,0.0,0,2.0,0.0,0,2.0,0.0,0.0,383,383,0.5078216964365153
1395,1395,1395,0,0,5.0,0.0,0,8.0,0.0,1,1.0,0.0,0,2.0,0.0,0,2.0,0.0,0.0,1395,1395,0.5036844173136698
1054,1054,1054,0,0,38.0,0.0,1,1.0,0.0,1,1.0,0.0,0,1.0,0.0,0,2.0,0.0,0.0,1054,1054,0.49653658955712415
755,755,755,1,0,28.0,0.0,0,12.0,0.0,0,84111.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,755,755,0.5141795674778732
324,324,324,1,0,40.0,0.0,0,2.0,0.0,1,1.0,0.0,0,4.0,0.0,0,2.0,0.0,0.0,324,324,0.5147582157823454
1623,1623,1623,0,0,40.0,0.0,0,9.0,0.0,0,29298.0,0.0,0,1.0,0.0,0,0.0,1.0,0.2,1623,1623,0.5182223442482309
787,787,787,1,0,33.0,0.0,0,17.0,0.0,0,96994.0,0.0,0,2.0,0.0,0,1.0,0.0,0.0,787,787,0.5106684272064447
368,368,368,1,0,0.0,1.0,0,7.0,0.0,0,25106.0,0.0,0,0.0,1.0,0,1.0,0.0,0.4,368,368,0.5389502744735148
1819,1819,1819,0,0,44.0,0.0,0,4.0,0.0,1,1.0,0.0,0,0.0,1.0,0,0.0,1.0,0.4,1819,1819,0.5242630885571794
69,69,69,1,0,59.0,0.0,0,1.0,0.0,1,1.0,0.0,0,4.0,0.0,0,1.0,0.0,0.0,69,69,0.5204133808641244
857,857,857,1,0,0.0,1.0,0,10.0,0.0,1,1.0,0.0,0,0.0,1.0,0,1.0,0.0,0.4,857,857,0.5377534728806297
1483,1483,1483,0,0,6.0,0.0,0,14.0,0.0,1,1.0,0.0,0,2.0,0.0,0,2.0,0.0,0.0,1483,1483,0.5025263941781672
1555,1555,1555,0,0,11.0,0.0,0,1.0,0.0,1,1.0,0.0,0,1.0,0.0,0,0.0,1.0,0.2,1555,1555,0.51294560553998
1691,1691,1691,0,0,28.0,0.0,0,2.0,0.0,1,1.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,1691,1691,0.5151043154434636
1474,1474,1474,0,0,8.0,0.0,0,9.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,1474,1474,0.5043851345287564
1798,1798,1798,0,0,31.0,0.0,0,7.0,0.0,1,1.0,0.0,0,2.0,0.0,0,2.0,0.0,0.0,1798,1798,0.509819120836299
478,478,478,1,0,35.0,0.0,0,6.0,0.0,0,55092.0,0.0,0,2.0,0.0,0,0.0,1.0,0.2,478,478,0.5190471390512232
281,281,281,1,0,33.0,0.0,0,4.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,281,281,0.5112150284996348
1647,1647,1647,0,0,19.0,0.0,0,10.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,1647,1647,0.5066524054226679
1556,1556,1556,0,0,30.0,0.0,0,6.0,0.0,0,14098.0,0.0,0,1.0,0.0,0,2.0,0.0,0.0,1556,1556,0.509264288593524
1729,1729,1729,0,0,48.0,0.0,0,4.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,1729,1729,0.5146199126678409
210,210,210,1,0,25.0,0.0,0,7.0,0.0,0,47812.0,0.0,0,4.0,0.0,0,2.0,0.0,0.0,210,210,0.511029491737485
