anon_index,max_attack_score,mean_attack_score,pair_count,risk_level
1111,0.5148954332603412,0.5148954332603412,1,medium
1112,0.5066596439222592,0.5066596439222592,1,low
1113,0.5152298818833033,0.5152298818833033,1,medium
1114,0.5081605800695659,0.5081605800695659,1,low
1115,0.5010676736298058,0.5010676736298058,1,low
1116,0.5084401810798553,0.5084401810798553,1,low
1117,0.5134900521146003,0.5134900521146003,1,medium
1118,0.508190066600552,0.508190066600552,1,low
1119,0.509575490268683,0.509575490268683,1,low
1120,0.5158900675537129,0.5158900675537129,1,high
1121,0.5127336521249021,0.5127336521249021,1,medium
1122,0.5119084752529075,0.5119084752529075,1,medium
1123,0.5204593464156005,0.5204593464156005,1,high
1124,0.5121355179838666,0.5121355179838666,1,medium
1125,0.5037077017096746,0.5037077017096746,1,low
1126,0.5121255181096696,0.5121255181096696,1,medium
1127,0.5064431405023674,0.5064431405023674,1,low
1128,0.5362733435917658,0.5362733435917658,1,critical
1129,0.5219849294097336,0.5219849294097336,1,critical
1130,0.5147357991179935,0.5147357991179935,1,medium
1131,0.5078688299547034,0.5078688299547034,1,low
1132,0.5142975478287201,0.5142975478287201,1,medium
1133,0.5085293539133722,0.5085293539133722,1,low
1134,0.5088689346708376,0.5088689346708376,1,low
1135,0.5055241911906526,0.5055241911906526,1,low
1136,0.5087091947589055,0.5087091947589055,1,low
1137,0.5235557124446277,0.5235557124446277,1,critical
1138,0.5176818063000296,0.5176818063000296,1,high
1139,0.5118138781292719,0.5118138781292719,1,medium
1140,0.5057880792500072,0.5057880792500072,1,low
1141,0.51114507847095,0.51114507847095,1,medium
1142,0.5037358463856104,0.5037358463856104,1,low
1143,0.5123840622874251,0.5123840622874251,1,medium
1144,0.5118988371153309,0.5118988371153309,1,medium
1145,0.5018722326016937,0.5018722326016937,1,low
1146,0.49539075867896915,0.49539075867896915,1,low
1147,0.512563929383592,0.512563929383592,1,medium
1148,0.5130408018359387,0.5130408018359387,1,medium
1149,0.5091988518291429,0.5091988518291429,1,low
1150,0.5184125341242957,0.5184125341242957,1,high
1151,0.516795174164595,0.516795174164595,1,high
1152,0.51916287584254,0.51916287584254,1,high
1153,0.5124376163745675,0.5124376163745675,1,medium
1154,0.5150623352044607,0.5150623352044607,1,medium
1155,0.5105370832246044,0.5105370832246044,1,low
1156,0.5121516711477119,0.5121516711477119,1,medium
1157,0.5187129922284469,0.5187129922284469,1,high
1158,0.5226859778112204,0.5226859778112204,1,critical
1159,0.5115535223018739,0.5115535223018739,1,medium
1160,0.5061800196999511,0.5061800196999511,1,low
1161,0.513616788317807,0.513616788317807,1,medium
1162,0.5324107998953942,0.5324107998953942,1,critical
1163,0.5145048022551496,0.5145048022551496,1,medium
1164,0.5113981231165411,0.5113981231165411,1,medium
1165,0.5153707891719422,0.5153707891719422,1,medium
1166,0.5157545455967615,0.5157545455967615,1,high
1167,0.5185171307593014,0.5185171307593014,1,high
1168,0.5136360710853802,0.5136360710853802,1,medium
1169,0.5086814265442211,0.5086814265442211,1,low
1170,0.5088706997698664,0.5088706997698664,1,low
1171,0.511477036171264,0.511477036171264,1,medium
1172,0.505484267805464,0.505484267805464,1,low
1173,0.5130021168196134,0.5130021168196134,1,medium
1174,0.516345828366893,0.516345828366893,1,high
1175,0.5089751055371938,0.5089751055371938,1,low
1176,0.5114453421565632,0.5114453421565632,1,medium
1177,0.5080484143500839,0.5080484143500839,1,low
1178,0.5036675162930165,0.5036675162930165,1,low
1179,0.4954076509499223,0.4954076509499223,1,low
1180,0.5396306674328336,0.5396306674328336,1,critical
1181,0.5136316592573088,0.5136316592573088,1,medium
1182,0.503022820603104,0.503022820603104,1,low
1183,0.5082103107055566,0.5082103107055566,1,low
1184,0.5053107662051662,0.5053107662051662,1,low
1185,0.5037001878973212,0.5037001878973212,1,low
1186,0.514860799018375,0.514860799018375,1,medium
1187,0.511503275434873,0.511503275434873,1,medium
1188,0.5189438362200623,0.5189438362200623,1,high
1189,0.5087369283174078,0.5087369283174078,1,low
1190,0.5161327468813447,0.5161327468813447,1,high
1191,0.5133983968626813,0.5133983968626813,1,medium
1192,0.5050540034933649,0.5050540034933649,1,low
1193,0.5083091966048497,0.5083091966048497,1,low
1194,0.5127178521682816,0.5127178521682816,1,medium
1195,0.5091275021692258,0.5091275021692258,1,low
1196,0.5087191446180097,0.5087191446180097,1,low
1197,0.5048617870891231,0.5048617870891231,1,low
1198,0.5200799417562773,0.5200799417562773,1,high
1199,0.5123756270781442,0.5123756270781442,1,medium
1200,0.5114310819842962,0.5114310819842962,1,medium
1201,0.5121861194210661,0.5121861194210661,1,medium
1202,0.5068721054715634,0.5068721054715634,1,low
1203,0.5124376163745675,0.5124376163745675,1,medium
1204,0.5184827056815967,0.5184827056815967,1,high
1205,0.5059925251933596,0.5059925251933596,1,low
1206,0.5165849166402192,0.5165849166402192,1,high
1207,0.5101927729309489,0.5101927729309489,1,low
1208,0.5075517655864087,0.5075517655864087,1,low
1209,0.514782867587522,0.514782867587522,1,medium
1210,0.5073072496519583,0.5073072496519583,1,low
1211,0.5142743877194436,0.5142743877194436,1,medium
1212,0.5093684551753018,0.5093684551753018,1,low
1213,0.5183713638147783,0.5183713638147783,1,high
1214,0.5167161144036455,0.5167161144036455,1,high
1215,0.5118653482353811,0.5118653482353811,1,medium
1216,0.5139482641453156,0.5139482641453156,1,medium
1217,0.5082707798564806,0.5082707798564806,1,low
1218,0.5054972770493267,0.5054972770493267,1,low
1219,0.4920269144460853,0.4920269144460853,1,low
1220,0.5110169956717524,0.5110169956717524,1,medium
1221,0.5132737581819614,0.5132737581819614,1,medium
1222,0.5124376163745675,0.5124376163745675,1,medium
1223,0.506196252446894,0.506196252446894,1,low
1224,0.5179759454768073,0.5179759454768073,1,high
1225,0.5100694758535274,0.5100694758535274,1,low
1226,0.5042836634471649,0.5042836634471649,1,low
1227,0.5103761728819914,0.5103761728819914,1,low
1228,0.5080282867712614,0.5080282867712614,1,low
1229,0.5113798000112132,0.5113798000112132,1,medium
1230,0.5123656478864869,0.5123656478864869,1,medium
1231,0.5046158968560133,0.5046158968560133,1,low
1232,0.5116785615974483,0.5116785615974483,1,medium
1233,0.5025970360633191,0.5025970360633191,1,low
1234,0.515977197658006,0.515977197658006,1,high
1235,0.5109846338405113,0.5109846338405113,1,medium
1236,0.5176818063000296,0.5176818063000296,1,high
1237,0.5056070508286158,0.5056070508286158,1,low
1238,0.517937447507022,0.517937447507022,1,high
1239,0.5120578693113366,0.5120578693113366,1,medium
1240,0.5014041207127983,0.5014041207127983,1,low
1241,0.505715038689408,0.505715038689408,1,low
1242,0.5061798807356653,0.5061798807356653,1,low
1243,0.5147529431540749,0.5147529431540749,1,medium
1244,0.5007242750848128,0.5007242750848128,1,low
1245,0.5073548084384304,0.5073548084384304,1,low
1246,0.5111720760118302,0.5111720760118302,1,medium
1247,0.5180344145716258,0.5180344145716258,1,high
1248,0.49290898630451824,0.49290898630451824,1,low
1249,0.5067815900187392,0.5067815900187392,1,low
1250,0.5138314376303842,0.5138314376303842,1,medium
1251,0.5168425668989031,0.5168425668989031,1,high
1252,0.5042614991676021,0.5042614991676021,1,low
1253,0.5091646687371217,0.5091646687371217,1,low
1254,0.5166720072565911,0.5166720072565911,1,high
1255,0.5135127777725549,0.5135127777725549,1,medium
1256,0.5066689312386599,0.5066689312386599,1,low
1257,0.5156692163423299,0.5156692163423299,1,high
1258,0.5094809256981887,0.5094809256981887,1,low
1259,0.516696377414787,0.516696377414787,1,high
1260,0.5073281173399126,0.5073281173399126,1,low
1261,0.4978926148652029,0.4978926148652029,1,low
1262,0.5112913628904338,0.5112913628904338,1,medium
1263,0.5091138453919605,0.5091138453919605,1,low
1264,0.5062321826083697,0.5062321826083697,1,low
1265,0.502795796312134,0.502795796312134,1,low
1266,0.512110717643198,0.512110717643198,1,medium
1267,0.5095062639510299,0.5095062639510299,1,low
1268,0.5098888794004509,0.5098888794004509,1,low
1269,0.5070940979967045,0.5070940979967045,1,low
1270,0.5094258519513778,0.5094258519513778,1,low
1271,0.5129206605690267,0.5129206605690267,1,medium
1272,0.5089118051984182,0.5089118051984182,1,low
1273,0.5150956114021693,0.5150956114021693,1,medium
1274,0.5048610812344031,0.5048610812344031,1,low
1275,0.5134714984816363,0.5134714984816363,1,medium
1276,0.5121207717134689,0.5121207717134689,1,medium
1277,0.5123785632229096,0.5123785632229096,1,medium
1278,0.509405206245686,0.509405206245686,1,low
1279,0.5201551314671912,0.5201551314671912,1,high
1280,0.5124633999307064,0.5124633999307064,1,medium
1281,0.49923474962597925,0.49923474962597925,1,low
1282,0.5034976401602753,0.5034976401602753,1,low
1283,0.5066936762481281,0.5066936762481281,1,low
1284,0.512520660784546,0.512520660784546,1,medium
1285,0.504252077302387,0.504252077302387,1,low
1286,0.5010676736298058,0.5010676736298058,1,low
1287,0.505715036657609,0.505715036657609,1,low
1288,0.5064418403973182,0.5064418403973182,1,low
1289,0.5046434342075191,0.5046434342075191,1,low
1290,0.5098551033373137,0.5098551033373137,1,low
1291,0.5220150793724828,0.5220150793724828,1,critical
1292,0.5138504713539634,0.5138504713539634,1,medium
1293,0.508950224122242,0.508950224122242,1,low
1294,0.505351255993483,0.505351255993483,1,low
1295,0.5071231178182661,0.5071231178182661,1,low
1296,0.5103173268973903,0.5103173268973903,1,low
1297,0.5028168254376643,0.5028168254376643,1,low
1298,0.4958424912444775,0.4958424912444775,1,low
1299,0.5111491746286032,0.5111491746286032,1,medium
1300,0.5130671918398861,0.5130671918398861,1,medium
1301,0.5094039045301205,0.5094039045301205,1,low
1302,0.49180188661976887,0.49180188661976887,1,low
1303,0.5066667235354313,0.5066667235354313,1,low
1304,0.5184061393563888,0.5184061393563888,1,high
1305,0.5228819933403183,0.5228819933403183,1,critical
1306,0.5123688058024933,0.5123688058024933,1,medium
1307,0.5119114763464553,0.5119114763464553,1,medium
1308,0.5089124578405343,0.5089124578405343,1,low
1309,0.506374286902261,0.506374286902261,1,low
1310,0.5157813647866837,0.5157813647866837,1,high
