pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,age_diff,age_equal,education_match,marital_status_match,sex_match,overall_similarity,attack_score
43,1,82.0,81.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
44,1,83.0,82.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
45,1,10.0,88.0,10.0,10.0,1.0,10.0,0,0,1,1,0.5,0.08194084729740109
46,1,1.0,1.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
47,1,5.0,5.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
48,1,8.0,8.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
49,1,13.0,12.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
50,1,15.0,14.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
51,1,18.0,17.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
52,1,19.0,18.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
53,1,22.0,21.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
54,1,23.0,22.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
55,1,24.0,23.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
56,1,26.0,25.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
57,1,28.0,27.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
58,1,29.0,28.0,0.0,0.0,0.0,0.0,1,1,1,1,1.0,0.9640169928656092
59,1,42.0,29.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
60,1,33.0,32.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
61,1,36.0,35.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
62,1,37.0,36.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
63,1,38.0,37.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
64,1,40.0,39.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
65,1,77.0,41.0,20.0,20.0,1.0,20.0,0,1,1,1,0.75,0.597194823451987
66,1,43.0,42.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
67,1,47.0,46.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
68,1,49.0,48.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
69,1,51.0,50.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
70,1,53.0,52.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
71,1,54.0,53.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
72,1,56.0,55.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
73,1,58.0,57.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
74,1,59.0,58.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
75,1,60.0,59.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
76,1,63.0,62.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
77,1,67.0,66.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
78,1,68.0,67.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
79,1,69.0,68.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
80,1,73.0,72.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
81,1,84.0,76.0,0.0,0.0,1.0,0.0,1,0,1,1,0.75,0.6900556563896268
82,1,79.0,78.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
83,1,81.0,80.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
84,1,30.0,83.0,20.0,20.0,1.0,20.0,0,0,1,1,0.5,0.1895139109778278
85,0,,,7.0,7.0,1.0,7.0,0,0,1,1,0.5,0.07122787355066555
86,0,,,7.0,7.0,1.0,7.0,0,0,1,1,0.5,0.07122787355066555
87,0,,,15.0,15.0,1.0,15.0,0,0,1,1,0.5,0.11889359943799123
88,0,,,3.0,3.0,1.0,3.0,0,0,1,1,0.5,0.06586269461799674
89,0,,,3.0,3.0,1.0,3.0,0,0,1,1,0.5,0.06586269461799674
90,0,,,10.0,10.0,1.0,10.0,0,0,1,1,0.5,0.08194084729740109
91,0,,,7.0,7.0,1.0,7.0,0,0,1,1,0.5,0.07122787355066555
92,0,,,7.0,7.0,1.0,7.0,0,0,1,1,0.5,0.07122787355066555
93,0,,,8.0,8.0,1.0,8.0,0,0,1,1,0.5,0.07404951760022978
94,0,,,3.0,3.0,1.0,3.0,0,0,1,1,0.5,0.06586269461799674
95,0,,,6.0,6.0,1.0,6.0,0,1,0,1,0.5,0.04440649695587024
96,0,,,20.0,20.0,1.0,20.0,0,0,1,1,0.5,0.1895139109778278
97,0,,,3.0,3.0,1.0,3.0,0,1,1,0,0.5,0.026823045792554776
98,0,,,10.0,10.0,1.0,10.0,0,0,1,1,0.5,0.08194084729740109
99,0,,,12.0,12.0,1.0,12.0,0,0,1,1,0.5,0.09338836809560304
100,0,,,6.0,6.0,1.0,6.0,0,0,1,1,0.5,0.06905848316824681
101,0,,,3.0,3.0,1.0,3.0,0,1,1,0,0.5,0.026823045792554776
