pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,education_diff,education_equal,marital_status_diff,marital_status_equal,sex_diff,sex_equal,age_match,industry_match,overall_similarity,industry_diff,industry_equal,education_match,age_diff,age_equal,anon_index,aux_index,attack_score
37,1,37.0,37.0,1.0,1.0,0.9971391490106832,0.0,1.0,1.0,0,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,37.0,37.0,0.8202879437717611
38,1,38.0,38.0,1.0,1.0,0.9997128499581862,1.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,38.0,38.0,0.2977469722247344
39,1,39.0,39.0,49223.00037584056,49230.0,-0.0761036699017625,6.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,49223.0,0.0,0.0,0.0,0.0,39.0,39.0,0.9370144707198061
40,1,40.0,40.0,2.0,2.0,0.9968410582470292,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.07234130672047417
41,1,41.0,41.0,30092.00001661571,30093.0,0.999999937412584,1.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,30092.0,0.0,0.0,0.0,0.0,41.0,41.0,0.32260792025846063
42,1,42.0,42.0,47820.00010455876,47824.0,-0.0969742159989941,3.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,47820.0,0.0,0.0,0.0,0.0,42.0,42.0,0.928093385719813
43,1,43.0,43.0,1.7320508075688772,3.0,0.991117008818872,1.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0,0.9405641681035907
44,1,44.0,44.0,7.280109889280518,9.0,0.6491134836118732,7.0,0.0,2.0,0,0.0,1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,44.0,44.0,0.947304596859194
45,1,45.0,45.0,9.055385138137416,10.0,0.9178146529232246,9.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,45.0,45.0,0.9443112846804449
46,1,46.0,46.0,1.7320508075688772,3.0,0.978231976089037,1.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0,0.9424234941100624
47,1,47.0,47.0,85493.00009942334,85498.0,-0.0896261787594765,4.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,85493.0,0.0,0.0,0.0,0.0,47.0,47.0,0.9311165543344263
48,1,48.0,48.0,30920.000420439843,30926.0,0.9999999997549752,5.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,30920.0,0.0,0.0,0.0,0.0,48.0,48.0,0.8560372449979295
49,1,49.0,49.0,1.0,1.0,0.9971391490106832,0.0,1.0,1.0,0,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,49.0,49.0,0.8202879437717611
50,1,50.0,50.0,1.4142135623730951,2.0,0.9961359100851456,1.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.9158234790801772
51,1,51.0,51.0,49233.000111713685,49238.0,-0.1070021941833252,1.0,0.0,3.0,0,1.0,0,0.0,0.0,0.0,49233.0,0.0,0.0,0.0,0.0,51.0,51.0,0.8814963895549752
52,1,52.0,52.0,18221.00016464519,18225.0,0.9999999798068496,2.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,18221.0,0.0,0.0,0.0,0.0,52.0,52.0,0.9191059047463104
53,1,53.0,53.0,12800.00324218709,12811.0,0.9999999886097176,9.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,12800.0,0.0,0.0,0.0,0.0,53.0,53.0,0.9175059907912693
54,1,54.0,54.0,4.123105625617661,5.0,0.9969405307028008,4.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,54.0,54.0,0.9398125787439392
55,1,55.0,55.0,2.449489742783178,4.0,0.9542374472273958,2.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,0.946729249134779
56,1,56.0,56.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,56.0,56.0,0.24851979310767222
57,1,57.0,57.0,35131.000042697335,35134.0,0.9999998257122552,1.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,35131.0,0.0,0.0,0.0,0.0,57.0,57.0,0.9200260863409725
58,1,58.0,58.0,10506.000475918512,10510.0,-0.0605216176475011,3.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,10506.0,0.0,0.0,0.0,0.0,58.0,58.0,0.9329885787621581
59,1,59.0,59.0,10.0,10.0,0.1400280084028009,10.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,59.0,59.0,0.8643452834538405
60,1,60.0,60.0,8.602325267042627,12.0,0.9931695968516404,8.0,0.0,3.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.9394543835098935
61,1,61.0,61.0,47114.00004245023,47116.0,-0.1888338179161703,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,47114.0,0.0,0.0,0.0,0.0,61.0,61.0,0.8125338352144779
62,1,62.0,62.0,46413.00021545688,46419.0,-0.1002309282906228,4.0,0.0,2.0,0,0.0,1,0.0,0.0,0.2,46413.0,0.0,0.0,0.0,0.0,62.0,62.0,0.9321477531338279
63,1,63.0,63.0,8.0,8.0,0.9551668842409458,8.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,63.0,63.0,0.7837693205390571
64,1,64.0,64.0,4.0,4.0,0.9961017296304552,4.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,64.0,64.0,0.5177235705612404
65,1,65.0,65.0,1.7320508075688772,3.0,0.986581038661854,1.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,65.0,0.9417375658048918
66,1,66.0,66.0,4.242640687119285,6.0,0.9984038297885895,4.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,0.936339888364997
67,1,67.0,67.0,3.3166247903554,5.0,0.9999999977299046,3.0,0.0,1.0,0,1.0,0,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,67.0,67.0,0.8973869597291766
68,1,68.0,68.0,3.0,3.0,0.9941348467724342,3.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,68.0,68.0,0.37944365836146177
69,1,69.0,69.0,41003.00010974806,41006.0,-0.0954602489118416,3.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,41003.0,0.0,0.0,0.0,0.0,69.0,69.0,0.8423845393151158
70,1,70.0,70.0,55104.000018147504,55106.0,-0.1089247947872467,1.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,55104.0,0.0,0.0,0.0,0.0,70.0,70.0,0.9190629552008961
71,1,71.0,71.0,41003.00002438846,41005.0,-0.0805257825951051,1.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,41003.0,0.0,0.0,0.0,0.0,71.0,71.0,0.901196693331081
72,1,72.0,72.0,4.0,4.0,0.9959289952477496,4.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,72.0,72.0,0.5841872746129716
73,1,73.0,73.0,5.0990195135927845,6.0,0.9912407071619304,5.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,73.0,73.0,0.949954766117694
74,1,74.0,74.0,3.1622776601683795,4.0,0.6507913734559685,0.0,0.0,3.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,0.9377567954809117
75,1,75.0,75.0,7508.003329780828,7516.0,0.999999993346269,7.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,7508.0,0.0,0.0,0.0,0.0,75.0,75.0,0.6412984562540847
76,1,76.0,76.0,2.23606797749979,3.0,0.9945274832335644,2.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,76.0,76.0,0.8612808360039209
77,1,77.0,77.0,5.0990195135927845,6.0,0.995403900013586,5.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,77.0,77.0,0.9144972707187412
78,1,78.0,78.0,10.0,10.0,0.5819143739626463,10.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,78.0,78.0,0.8506498488714315
79,1,79.0,79.0,14102.000567295408,14106.0,-0.1213203390719528,4.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,14102.0,0.0,0.0,0.0,0.0,79.0,79.0,0.747555675284528
80,1,80.0,80.0,47592.00002101193,47594.0,-0.1311353691312682,1.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,47592.0,0.0,0.0,0.0,0.0,80.0,80.0,0.8966441814170666
81,1,81.0,81.0,64192.00003894566,64195.0,-0.0814893875646336,2.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,64192.0,0.0,0.0,0.0,0.0,81.0,81.0,0.9318273371603293
82,1,82.0,82.0,17078.00032205176,17083.0,0.9999999995422288,3.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,17078.0,0.0,0.0,0.0,0.0,82.0,82.0,0.92751542420085
83,1,83.0,83.0,84131.00010697602,84137.0,-0.1070570555474819,4.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,84131.0,0.0,0.0,0.0,0.0,83.0,83.0,0.9294789748344391
84,1,84.0,84.0,36400.000013736266,36401.0,0.9999995194658244,1.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,36400.0,0.0,0.0,0.0,0.0,84.0,84.0,0.481916767914315
