aux_index,anon_index,label,top_feature,top_feature_shap_value,shap__age_diff,shap__age_ratio,shap__age_close,shap__education_diff,shap__education_ratio,shap__education_close,shap__industry_diff,shap__industry_ratio,shap__industry_close,shap__marital_status_diff,shap__marital_status_ratio,shap__marital_status_close,shap__sex_diff,shap__sex_ratio,shap__sex_close,shap__overall_similarity
807,118,1,overall_similarity,4.644345923095969,0.45925806946239256,0.1801990271925253,0.00011488315767447816,0.10197554815859834,-0.05551531891328499,0.6394058636644574,-0.06237527949872449,0.03544729946394541,0.0,0.0030923126683239425,0.0031084715576075827,0.0011778440933651873,0.00314781161880616,-0.005783131803931058,-0.007056805829894675,4.644345923095969
1214,989,0,overall_similarity,-4.214478180131053,-0.44999476140606465,-0.5498813685399705,0.0001133787415694989,0.2711194403798207,-0.024427603597214485,0.672391175912516,-0.05951573588820297,-0.04178705127930234,0.0,-0.05381508990917047,-0.05327610447253826,-0.02146961702870423,-0.01391860703412858,-0.005781361445547301,-0.007056805829894675,-4.214478180131053
981,539,0,overall_similarity,-4.379474508325069,0.013398129938559829,0.09009022756181358,0.0001133787415694989,-0.09986704957033998,-0.05693652943277014,-0.08860917378723494,-0.06251420160467465,-0.06732720130934683,0.0,-0.08476970463334782,-0.08362114002544399,-0.033853087482252006,0.000737406443292157,0.000503826267159556,0.0007812546084132509,-4.379474508325069
156,192,1,overall_similarity,4.731276078161484,-0.6370169322500763,0.2573323355497228,0.00011318449555936785,0.11453471111596907,-0.044450027863651556,0.827180869946571,-0.03557704017933617,0.0226721979517459,0.0,0.0030923126683239425,0.0031084715576075827,0.0011778440933651873,0.0033422135047261148,0.0016683749185570102,0.001945310054827365,4.731276078161484
803,825,1,overall_similarity,3.8779620815221865,1.06827196946708,0.4184753541261781,-4.189566513077307e-05,-0.03899797022189268,-0.010598311778926154,-0.07535027666814621,0.07372045465959991,-0.017163133269154644,0.0,0.0030923126683239425,0.0031311663247679373,0.0012246150921253081,0.00073761826103125,0.000506062447572974,0.0010062776153533868,3.8779620815221865
761,268,1,overall_similarity,3.346859430925126,-0.8866488091248923,0.4405689015767837,0.00011318449555936785,0.03789954515192838,-0.033527442033697466,-0.09603916780925224,-0.04665549917178567,-0.1078629210214817,0.0,0.0030923126683239425,0.002212505425287027,0.0011778440933651873,0.0007377004184836257,0.0005069297917652286,0.0007812546084132509,3.346859430925126
915,136,1,overall_similarity,3.86930784197492,0.6482733188823487,0.2926356061576677,0.00011488315767447816,-0.04079265203240566,-0.010598311778926154,-0.06651745698498072,0.015242515045019972,0.22924337653810173,0.0,0.0030923126683239425,0.0031311663247679373,0.0012246150921253081,0.0007377004184836257,0.0005069297917652286,0.0010062776153533868,3.86930784197492
1045,278,1,overall_similarity,3.470894295509247,1.4238343472269093,0.2972698298988627,-4.189566513077307e-05,-0.05824243297067632,-0.01874627917478259,-0.07452608275673221,0.1719413317180268,-0.03381871083482666,0.0,0.0030923126683239425,0.0031311663247679373,0.0012246150921253081,0.00073761826103125,0.000506062447572974,0.0010062776153533868,3.470894295509247
321,659,0,overall_similarity,-4.402186593689464,-0.611082976267434,0.07442860675930615,0.0001133787415694989,-0.01569665139289094,0.005350705085208175,-0.08923093093739926,-0.056061533341706035,-0.07165960441514052,0.0,-0.08476970463334782,-0.08364383479260433,-0.03389985848101213,0.000737406443292157,0.000503826267159556,0.0010062776153533868,-4.402186593689464
939,165,0,overall_similarity,-3.501646168738636,-0.5817228275729321,-0.945345137170017,0.0001133787415694989,-0.1573279177849245,0.007728381508902875,-0.08832966154341469,-0.07191661786565179,-0.07220647939009622,0.0,-0.05381508990917047,-0.05327610447253826,-0.02146961702870423,-0.0026164484648904455,-0.0011355809383801732,-0.002400584044238218,-3.501646168738636
913,736,1,overall_similarity,3.862125208124836,1.3332431617049452,0.23208024952496767,-0.005014081757662603,-0.02944583289699908,-0.001596045940271626,-0.06784042292587412,-0.08050185260985274,-0.11158674584424844,0.0,0.0030923126683239425,0.0022352001924473815,0.0012246150921253081,-0.005872045860247217,-0.011845302307726645,-0.008723554377446223,3.862125208124836
679,720,0,overall_similarity,-3.4810624320542654,-0.6165351097790017,-0.9347907370231564,0.0001133787415694989,-0.22313150356096637,-0.04225306991187217,-0.09127574473003837,0.40173625749110553,-0.05161530899147968,0.0,0.0006643838260391421,0.0006611517807380553,0.0002533161323528617,0.000737406443292157,0.000503826267159556,0.0010062776153533868,-3.4810624320542654
1198,234,0,overall_similarity,-4.178005396866678,-0.07901654972695724,-0.42966406636302656,0.0001133787415694989,-0.07045551864055272,-0.026185926678968713,-0.08338862170910954,-0.05095087706632473,-0.07165960441514052,0.0,0.0006643838260391421,0.000739509295127149,0.0002533161323528617,0.000543004557372202,-0.0011404548213696036,-0.0031506607340386706,-4.178005396866678
864,438,0,overall_similarity,-4.7517441190098255,0.9727635070812685,0.11845836886586825,0.00012239898406647253,-0.02294395531247906,0.003374313533160992,-0.0649459884431242,-0.03856275956236589,-0.06729461712069167,0.0,-0.08476970463334782,-0.08364383479260433,-0.03389985848101213,-0.002609494423385792,-0.0011238346198907826,-0.0031506607340386706,-4.7517441190098255
637,492,1,overall_similarity,3.4692400023602614,1.424162854498285,0.2972698298988627,0.00011488315767447816,-0.05824243297067632,-0.01874627917478259,-0.0656932630735667,0.01790331327289634,0.21258779897242974,0.0,0.0030923126683239425,0.0031311663247679373,0.0012246150921253081,0.00073761826103125,0.000506062447572974,0.0010062776153533868,3.4692400023602614
1196,37,1,overall_similarity,3.3811365773023887,0.9042214973342741,0.2769590912016659,0.00011488315767447816,-0.08247315701538283,-0.01874627917478259,-0.07452608275673221,0.07638125288747628,-0.028949481572678452,0.0,0.0030923126683239425,0.0031311663247679373,0.0012246150921253081,0.0007377004184836257,0.0005069297917652286,0.0010062776153533868,3.3811365773023887
1100,462,0,overall_similarity,-4.401911447097383,-0.6099184286066102,0.07442860675930615,0.0001133787415694989,-0.02163482715881068,0.005818004560839114,-0.08923093093739926,-0.056061533341706035,-0.06762842237775481,0.0,-0.08476970463334782,-0.08364383479260433,-0.03389985848101213,0.000737406443292157,0.000503826267159556,0.0010062776153533868,-4.401911447097383
452,512,1,overall_similarity,3.6644193203654076,1.2490052861289025,0.41859479341918865,-4.189566513077307e-05,-0.04147352323919539,-0.01904644146617552,-0.07535027666814621,0.07903767683757713,-0.03381871083482666,0.0,0.0030923126683239425,0.0031311663247679373,0.0012246150921253081,0.00073761826103125,0.000506062447572974,0.0010062776153533868,3.6644193203654076
551,836,0,overall_similarity,-4.399235498020414,-0.5897063968024113,0.10641671888101847,0.0001133787415694989,-0.0883563708490632,-0.02696257590816821,-0.005610460147955117,-0.040481986459384875,-0.07165960441514052,0.0,-0.08476970463334782,0.0010409403364665037,-0.03389985848101213,-0.010674098828568561,-0.004303158556903216,-0.006325357406077164,-4.399235498020414
580,668,0,overall_similarity,-4.789069033403269,0.7895758809530296,0.10635437891478688,0.00012239898406647253,-0.08783473198980492,-0.022005230564333025,-0.06631756802925612,0.25595375736845316,-0.06890238626676982,0.0,0.001046539563374665,0.0009344262292605721,0.0001866865961170632,0.000543004557372202,-0.0011404548213696036,-0.07883839924616969,-4.789069033403269
369,735,1,overall_similarity,4.697023034808823,-0.04348445322093418,0.19478309404631627,0.00011318449555936785,-0.015794523123429608,0.008878818050497117,-0.07818301020618301,0.023866538555958577,0.23319683154210422,0.0,0.0030923126683239425,0.0031311663247679373,0.0012246150921253081,0.0007377004184836257,0.0005069297917652286,0.0010062776153533868,4.697023034808823
245,481,1,overall_similarity,3.9230135678467173,-0.6742545939295316,0.47736247933263026,0.00011318449555936785,0.11969673031538712,-0.044450027863651556,0.8471708734960856,-0.04324209746326066,-0.0073644022652467655,0.0,0.0030923126683239425,0.0031084715576075827,0.0011778440933651873,0.0033422135047261148,0.0016683749185570102,0.001945310054827365,3.9230135678467173
700,29,0,overall_similarity,-3.6326401572472236,-0.5805779175808752,-0.9835509635178118,0.0001133787415694989,-0.1490870660635781,0.005784857141957989,-0.08805102268365174,0.05841814316452559,-0.0449522744409485,0.0,0.0006643838260391421,0.0006611517807380553,0.0002533161323528617,0.000543004557372202,-0.0011404548213696036,-0.0031506607340386706,-3.6326401572472236
