pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,education_diff,education_equal,marital_status_diff,marital_status_equal,sex_diff,sex_equal,age_match,overall_similarity,education_match
24,1,24.0,24.0,2.0,2.0,0.986159651481953,0.0,1.0,2.0,0,0.0,1,0,0.5,0.0
25,1,25.0,25.0,1.4142135623730951,2.0,0.996709240304503,1.0,0.0,0.0,1,1.0,0,0,0.25,0.0
26,1,26.0,26.0,1.4142135623730951,2.0,0.9961068689571466,1.0,0.0,1.0,0,0.0,1,0,0.25,0.0
27,1,27.0,27.0,1.4142135623730951,2.0,0.9932885906040269,0.0,1.0,1.0,0,1.0,0,0,0.25,0.0
28,1,28.0,28.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0.0,1,0,0.75,0.0
29,1,29.0,29.0,7.280109889280518,9.0,0.9640566180149879,7.0,0.0,2.0,0,0.0,1,0,0.25,0.0
30,1,30.0,30.0,3.1622776601683795,4.0,0.9975694083904585,3.0,0.0,1.0,0,0.0,1,0,0.25,0.0
31,1,31.0,31.0,1.4142135623730951,2.0,0.944911182523068,1.0,0.0,0.0,1,1.0,0,0,0.25,0.0
32,1,32.0,32.0,5.0,5.0,0.9974086507360697,5.0,0.0,0.0,1,0.0,1,0,0.5,0.0
33,1,33.0,33.0,5.0990195135927845,6.0,0.9973600960790272,5.0,0.0,0.0,1,1.0,0,0,0.25,0.0
34,1,34.0,34.0,4.58257569495584,7.0,0.9474866249411196,4.0,0.0,2.0,0,1.0,0,0,0.0,0.0
35,1,35.0,35.0,3.3166247903554,5.0,0.9894085587270861,3.0,0.0,1.0,0,1.0,0,0,0.0,0.0
36,1,36.0,36.0,7.0710678118654755,8.0,0.9258200997725514,7.0,0.0,1.0,0,0.0,1,0,0.25,0.0
37,1,37.0,37.0,1.0,1.0,0.9971391490106831,0.0,1.0,1.0,0,0.0,1,0,0.5,0.0
38,1,38.0,38.0,1.0,1.0,0.9997128499581862,1.0,0.0,0.0,1,0.0,1,0,0.5,0.0
39,1,39.0,39.0,6.082762530298219,7.0,0.9782118476519915,6.0,0.0,1.0,0,0.0,1,0,0.25,0.0
40,1,40.0,40.0,2.0,2.0,0.9968410582470292,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
41,1,41.0,41.0,1.0,1.0,0.9993288139387473,1.0,0.0,0.0,1,0.0,1,0,0.5,0.0
42,1,42.0,42.0,3.1622776601683795,4.0,0.9823845301506763,3.0,0.0,0.0,1,1.0,0,0,0.25,0.0
43,1,43.0,43.0,1.7320508075688772,3.0,0.991117008818872,1.0,0.0,1.0,0,1.0,0,0,0.0,0.0
44,1,44.0,44.0,7.280109889280518,9.0,0.6491134836118732,7.0,0.0,2.0,0,0.0,1,0,0.25,0.0
45,1,45.0,45.0,9.055385138137417,10.0,0.9178146529232246,9.0,0.0,1.0,0,0.0,1,0,0.25,0.0
46,1,46.0,46.0,1.7320508075688772,3.0,0.978231976089037,1.0,0.0,1.0,0,1.0,0,0,0.0,0.0
47,1,47.0,47.0,4.123105625617661,5.0,0.998832828930078,4.0,0.0,1.0,0,0.0,1,0,0.25,0.0
48,1,48.0,48.0,5.0990195135927845,6.0,0.9978934040223164,5.0,0.0,0.0,1,1.0,0,0,0.25,0.0
49,1,49.0,49.0,1.0,1.0,0.9971391490106831,0.0,1.0,1.0,0,0.0,1,0,0.5,0.0
50,1,50.0,50.0,1.4142135623730951,2.0,0.9961359100851457,1.0,0.0,1.0,0,0.0,1,0,0.25,0.0
51,1,51.0,51.0,3.3166247903554,5.0,0.9570377672873267,1.0,0.0,3.0,0,1.0,0,0,0.0,0.0
52,1,52.0,52.0,2.449489742783178,4.0,0.9927901006295571,2.0,0.0,1.0,0,1.0,0,0,0.0,0.0
53,1,53.0,53.0,9.1104335791443,11.0,0.9345507010964662,9.0,0.0,1.0,0,1.0,0,0,0.0,0.0
54,1,54.0,54.0,4.123105625617661,5.0,0.9969405307028008,4.0,0.0,1.0,0,0.0,1,0,0.25,0.0
55,1,55.0,55.0,2.449489742783178,4.0,0.9542374472273958,2.0,0.0,1.0,0,1.0,0,0,0.0,0.0
56,1,56.0,56.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,1,0,0.5,0.0
57,1,57.0,57.0,1.7320508075688772,3.0,0.991117008818872,1.0,0.0,1.0,0,1.0,0,0,0.0,0.0
58,1,58.0,58.0,3.1622776601683795,4.0,0.9956504319638848,3.0,0.0,1.0,0,0.0,1,0,0.25,0.0
59,1,59.0,59.0,10.0,10.0,0.14002800840280094,10.0,0.0,0.0,1,0.0,1,0,0.5,0.0
60,1,60.0,60.0,8.602325267042627,12.0,0.9931695968516403,8.0,0.0,3.0,0,1.0,0,0,0.0,0.0
61,1,61.0,61.0,2.0,2.0,0.9970909029271466,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
62,1,62.0,62.0,4.47213595499958,6.0,0.9649012813540153,4.0,0.0,2.0,0,0.0,1,0,0.25,0.0
63,1,63.0,63.0,8.0,8.0,0.9551668842409458,8.0,0.0,0.0,1,0.0,1,0,0.5,0.0
64,1,64.0,64.0,4.0,4.0,0.9961017296304553,4.0,0.0,0.0,1,0.0,1,0,0.5,0.0
65,1,65.0,65.0,1.7320508075688772,3.0,0.9865810386618541,1.0,0.0,1.0,0,1.0,0,0,0.0,0.0
66,1,66.0,66.0,4.242640687119285,6.0,0.9984038297885897,4.0,0.0,1.0,0,1.0,0,0,0.0,0.0
67,1,67.0,67.0,3.3166247903554,5.0,0.9913694342812615,3.0,0.0,1.0,0,1.0,0,0,0.0,0.0
68,1,68.0,68.0,3.0,3.0,0.9941348467724342,3.0,0.0,0.0,1,0.0,1,0,0.5,0.0
69,1,69.0,69.0,3.0,3.0,0.9981149841863164,3.0,0.0,0.0,1,0.0,1,0,0.5,0.0
70,1,70.0,70.0,1.4142135623730951,2.0,0.9962062287790493,1.0,0.0,1.0,0,0.0,1,0,0.25,0.0
71,1,71.0,71.0,1.4142135623730951,2.0,0.9961359100851457,1.0,0.0,0.0,1,1.0,0,0,0.25,0.0
72,1,72.0,72.0,4.0,4.0,0.9959289952477496,4.0,0.0,0.0,1,0.0,1,0,0.5,0.0
73,1,73.0,73.0,5.0990195135927845,6.0,0.9912407071619304,5.0,0.0,1.0,0,0.0,1,0,0.25,0.0
74,1,74.0,74.0,3.1622776601683795,4.0,0.6507913734559685,0.0,0.0,3.0,0,1.0,0,0,0.0,0.0
75,1,75.0,75.0,7.0710678118654755,8.0,0.9412258178930581,7.0,0.0,0.0,1,1.0,0,0,0.25,0.0
76,1,76.0,76.0,2.23606797749979,3.0,0.9945274832335643,2.0,0.0,0.0,1,1.0,0,0,0.25,0.0
77,1,77.0,77.0,5.0990195135927845,6.0,0.9954039000135861,5.0,0.0,0.0,1,1.0,0,0,0.25,0.0
78,1,78.0,78.0,10.0,10.0,0.5819143739626463,10.0,0.0,0.0,1,0.0,1,0,0.5,0.0
79,1,79.0,79.0,4.0,4.0,0.998338179159142,4.0,0.0,0.0,1,0.0,1,0,0.5,0.0
80,1,80.0,80.0,1.4142135623730951,2.0,0.9886207380188757,1.0,0.0,0.0,1,1.0,0,0,0.25,0.0
81,1,81.0,81.0,2.23606797749979,3.0,0.9932659166648444,2.0,0.0,1.0,0,0.0,1,0,0.25,0.0
82,1,82.0,82.0,3.3166247903554,5.0,0.9913694342812615,3.0,0.0,1.0,0,1.0,0,0,0.0,0.0
83,1,83.0,83.0,4.242640687119285,6.0,0.9891485542304925,4.0,0.0,1.0,0,1.0,0,0,0.0,0.0
84,1,84.0,84.0,1.0,1.0,0.9998513121692769,1.0,0.0,0.0,1,0.0,1,0,0.5,0.0
85,1,85.0,85.0,3.1622776601683795,4.0,0.9986441075795397,3.0,0.0,0.0,1,1.0,0,0,0.25,0.0
86,0,,,3.0,3.0,0.9981149841863164,3.0,0.0,0.0,1,0.0,1,0,0.5,0.0
87,0,,,1.0,1.0,0.9990248656871403,1.0,0.0,0.0,1,0.0,1,0,0.5,0.0
88,0,,,3.0,3.0,0.9994838709333603,3.0,0.0,0.0,1,0.0,1,0,0.5,0.0
89,0,,,2.0,2.0,0.9990767240206739,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
90,0,,,2.0,2.0,0.9990767240206739,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
91,0,,,2.0,2.0,0.9997500937109547,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
92,0,,,3.0,3.0,0.9981149841863164,3.0,0.0,0.0,1,0.0,1,0,0.5,0.0
93,0,,,2.0,2.0,0.9992990141526302,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
94,0,,,2.0,2.0,0.9998098045724798,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
95,0,,,3.0,3.0,0.9995044352735957,3.0,0.0,0.0,1,0.0,1,0,0.5,0.0
96,0,,,2.0,2.0,0.9990767240206739,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
97,0,,,3.0,3.0,0.9994838709333603,3.0,0.0,0.0,1,0.0,1,0,0.5,0.0
98,0,,,1.0,1.0,0.9979402655783318,1.0,0.0,0.0,1,0.0,1,0,0.5,0.0
