aux_index,anon_index,label,age_diff,age_ratio,age_close,education_diff,education_ratio,education_close,industry_diff,industry_ratio,industry_close,marital_status_diff,marital_status_ratio,marital_status_close,sex_diff,sex_ratio,sex_close,overall_similarity
243,634,1,0.0,1.0,1,0.7,0.3,0,0.9997765680857978,0.00022343191420214496,0,0.0,1.0,1,0.0,1.0,1,0.6600446863828404
1191,332,1,0.23529411764705882,1.3076923076923077,0,0.7333333333333333,0.26666666666666666,0,,,0,0.0,1.0,1,0.0,1.0,1,0.6062745098039215
1016,328,0,0.28125,1.391304347826087,0,0.6153846153846154,0.38461538461538464,0,0.9999691881066092,3.081189339084887e-05,0,0.5,0.5,0,0.0,1.0,1,0.5206792393017551
765,833,1,0.0,1.0,1,0.9,0.1,0,0.9996135799061551,0.00038642009384487995,0,0.0,1.0,1,0.0,1.0,1,0.6200772840187689
200,54,1,0.8923076923076924,9.285714285714286,0,0.0,1.0,1,,,0,0.0,1.0,1,0.0,1.0,1,0.6215384615384616
652,716,1,0.1388888888888889,1.1612903225806452,0,0.7692307692307693,0.23076923076923078,0,0.9997163321750231,0.00028366782497695197,0,0.0,1.0,1,0.0,1.0,1,0.6184328019410638
1196,37,1,0.018867924528301886,1.0192307692307692,0,0.9166666666666666,0.08333333333333333,0,0.9998949535694777,0.00010504643052229086,0,0.0,1.0,1,0.0,1.0,1,0.6129140910471108
801,361,0,0.12307692307692308,1.1403508771929824,0,0.7272727272727273,0.2727272727272727,0,0.9998514210515145,0.000148578948485556,0,0.5,0.5,0,0.5,0.5,0,0.42995978571976706
150,124,0,0.1956521739130435,0.8043478260869565,0,0.9090909090909091,0.09090909090909091,0,0.9995888399412628,0.00041116005873715125,0,0.0,1.0,1,0.5,0.5,0,0.4791336154109569
879,139,1,0.20987654320987653,0.7901234567901234,0,0.42857142857142855,0.5714285714285714,0,,,0,0.0,1.0,1,0.0,1.0,1,0.6723104056437389
1156,573,1,0.0,1.0,1,0.9230769230769231,0.07692307692307693,0,0.9999762272673244,2.3772732675621063e-05,0,0.0,1.0,1,0.0,1.0,1,0.6153893699311505
580,890,1,0.0,1.0,1,0.9,0.1,0,0.9999796838811913,2.0316118808662795e-05,0,0.0,1.0,1,0.0,1.0,1,0.6200040632237618
543,173,0,0.40816326530612246,0.5918367346938775,0,0.75,0.25,0,0.9998767524264366,0.00012324757356339548,0,0.0,1.0,1,0.0,1.0,1,0.5683919964534881
296,612,1,0.5,2.0,0,0.0,1.0,1,,,0,0.0,1.0,1,0.0,1.0,1,0.7
