pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,age_diff,age_equal,birth_year_diff,birth_year_equal,birth_month_diff,birth_month_equal,education_match,marital_status_match,sex_match,ethnicity_match,religion_match,overall_similarity
154,0,,,92.35258523723091,101.0,0.49028985604120623,8.0,0,92.0,0,1.0,0,0,1,1,1,1,0.5
47,1,14.0,14.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
103,0,,,2.23606797749979,3.0,0.9942338501412047,1.0,0,0.0,1,2.0,0,0,1,1,1,0,0.5
38,1,73.0,73.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
127,0,,,1.4142135623730951,2.0,0.9999135799520367,1.0,0,1.0,0,0.0,1,0,1,1,0,0,0.375
23,1,44.0,44.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
37,1,71.0,71.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
51,1,52.0,22.0,10.816653826391969,17.0,0.8478227519967948,7.0,0,8.0,0,2.0,0,0,1,1,1,1,0.5
33,1,64.0,64.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
112,0,,,2.449489742783178,4.0,0.9895530451750575,2.0,0,1.0,0,1.0,0,0,1,1,1,0,0.375
39,1,76.0,74.0,18.384776310850235,26.0,0.46708582081408534,13.0,0,13.0,0,0.0,1,0,1,1,1,1,0.625
24,1,45.0,45.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
67,1,53.0,52.0,6.164414002968976,8.0,0.9569321102069627,1.0,0,1.0,0,6.0,0,0,1,1,1,1,0.5
120,0,,,83.43860018001261,102.0,0.9588654486345097,20.0,0,81.0,0,1.0,0,1,1,1,1,1,0.625
111,0,,,14.866068747318506,21.0,0.9867228533562429,11.0,0,10.0,0,0.0,1,0,1,1,1,0,0.5
2,1,78.0,3.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
6,1,9.0,9.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
26,1,49.0,49.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
53,1,25.0,25.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
35,1,69.0,69.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
15,1,26.0,26.0,10.0,10.0,0.9992536694476112,0.0,1,10.0,0,0.0,1,1,1,1,1,1,0.875
110,0,,,20.518284528683193,29.0,0.4087700137316487,15.0,0,14.0,0,0.0,1,0,1,1,1,1,0.625
85,0,,,32.07802986469088,49.0,0.9431426404063946,22.0,0,23.0,0,4.0,0,0,1,1,1,1,0.5
18,1,33.0,33.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
86,0,,,10.63014581273465,15.0,0.9943932943270188,8.0,0,7.0,0,0.0,1,0,1,1,1,0,0.5
36,1,70.0,70.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
4,1,6.0,6.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
125,0,,,30.298514815086232,48.0,0.9392629939174926,21.0,0,21.0,0,6.0,0,0,1,1,1,1,0.5
155,0,,,10.816653826391969,17.0,0.8478227519967948,7.0,0,8.0,0,2.0,0,0,1,1,1,1,0.5
