pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,sector_diff,sector_equal,distance_match,r2_school_education_match,type_of_school_match,overall_similarity,distance_diff,distance_equal,attack_score
67,0,,,1.0,1.0,0.98328200498446,1.0,0,0.0,1,1,0.75,0.0,1.0,0.1532783272726599
68,0,,,1.0,1.0,0.9486832980505138,1.0,0,0.0,1,1,0.75,0.0,1.0,0.1391089182316149
69,0,,,3.0,3.0,0.8574929257125441,0.0,1,0.0,1,1,0.75,3.0,0.0,0.0665167579439207
70,0,,,9.0,9.0,0.6139406135149205,0.0,1,0.0,1,1,0.75,9.0,0.0,0.005706319760732752
71,0,,,7.0,7.0,0.93834311681711,0.0,1,0.0,1,1,0.75,7.0,0.0,0.025730650379321707
72,0,,,1.0,1.0,1.0,1.0,0,1.0,0,1,0.5,0.0,0.0,0.004710580251670385
73,0,,,0.0,0.0,1.0,0.0,1,1.0,0,1,0.75,0.0,0.0,0.2855959181668777
74,0,,,1.0,1.0,0.9761870601839528,1.0,0,0.0,1,1,0.75,0.0,1.0,0.150281349025469
75,0,,,4.0,4.0,0.7474093186836597,0.0,1,0.0,1,1,0.75,4.0,0.0,0.035576019327547184
76,0,,,1.0,1.0,0.7071067811865475,0.0,1,0.0,1,1,0.75,1.0,0.0,0.07864215480823022
77,0,,,7.0,7.0,0.93834311681711,0.0,1,0.0,1,1,0.75,7.0,0.0,0.025730650379321707
78,0,,,4.0,4.0,0.2425356250363329,0.0,1,0.0,1,1,0.75,4.0,0.0,0.007992731256327152
79,0,,,1.0,1.0,1.0,1.0,0,1.0,0,1,0.5,0.0,0.0,0.004710580251670385
80,0,,,12.0,12.0,0.9676172723968438,0.0,1,0.0,1,1,0.75,12.0,0.0,0.0068837949551218795
81,0,,,2.0,2.0,0.9761870601839528,0.0,1,0.0,1,1,0.75,2.0,0.0,0.1263289000098419
82,0,,,3.0,3.0,0.8574929257125441,0.0,1,0.0,1,1,0.75,3.0,0.0,0.0665167579439207
83,0,,,3.0,3.0,0.9647638212377322,0.0,1,0.0,1,1,0.75,3.0,0.0,0.0908459299288573
84,0,,,2.0,2.0,0.9785497849867488,0.0,1,0.0,1,1,0.75,2.0,0.0,0.1271695587864785
85,0,,,1.0,1.0,0.9486832980505138,0.0,1,0.0,1,1,0.75,1.0,0.0,0.1567273491488486
86,0,,,2.0,2.0,0.8682431421244593,0.0,1,0.0,1,1,0.75,2.0,0.0,0.09284294376563217
87,0,,,1.0,1.0,0.7071067811865475,0.0,1,0.0,1,1,0.75,1.0,0.0,0.07864215480823022
88,0,,,6.0,6.0,0.9778024140774094,0.0,1,0.0,1,1,0.75,6.0,0.0,0.03864384497304485
89,0,,,1.0,1.0,0.9486832980505138,0.0,1,0.0,1,1,0.75,1.0,0.0,0.1567273491488486
90,0,,,1.0,1.0,1.0,1.0,0,1.0,0,1,0.5,0.0,0.0,0.004710580251670385
91,0,,,8.0,8.0,0.7808688094430304,0.0,1,0.0,1,1,0.75,8.0,0.0,0.012227140672574943
92,0,,,12.0,12.0,0.9833821803872266,0.0,1,0.0,1,1,0.75,12.0,0.0,0.007199786598238507
93,0,,,2.0,2.0,0.8944271909999159,0.0,1,0.0,1,1,0.75,2.0,0.0,0.10012476282144593
94,0,,,3.0,3.0,0.9647638212377322,0.0,1,0.0,1,1,0.75,3.0,0.0,0.0908459299288573
95,0,,,3.0,3.0,0.9877629653290692,0.0,1,0.0,1,1,0.75,3.0,0.0,0.09704868997457898
96,0,,,1.0,1.0,1.0,1.0,0,1.0,0,1,0.5,0.0,0.0,0.004710580251670385
97,0,,,5.0,5.0,0.196116135138184,0.0,1,0.0,1,1,0.75,5.0,0.0,0.005232375363659351
