pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,sector_diff,sector_equal,type_of_school_match,r2_school_education_match,overall_similarity
86,1,87.0,87.0,0.0,0.0,1.0,0.0,1,1,1,1.0
87,1,88.0,88.0,0.0,0.0,1.0,0.0,1,1,1,1.0
88,1,90.0,90.0,0.0,0.0,1.0,0.0,1,1,1,1.0
89,1,91.0,91.0,0.0,0.0,1.0,0.0,1,1,1,1.0
90,1,92.0,92.0,0.0,0.0,1.0,0.0,1,1,1,1.0
91,1,93.0,93.0,0.0,0.0,1.0,0.0,1,1,1,1.0
92,1,94.0,94.0,0.0,0.0,1.0,0.0,1,1,1,1.0
93,1,95.0,95.0,0.0,0.0,1.0,0.0,1,1,1,1.0
94,1,96.0,96.0,0.0,0.0,1.0,0.0,1,1,1,1.0
95,1,97.0,97.0,0.0,0.0,1.0,0.0,1,1,1,1.0
96,1,98.0,98.0,0.0,0.0,1.0,0.0,1,1,1,1.0
97,1,99.0,99.0,0.0,0.0,1.0,0.0,1,1,1,1.0
98,1,47.0,47.0,0.0,0.0,1.0,0.0,1,1,1,1.0
99,1,76.0,76.0,0.0,0.0,1.0,0.0,1,1,1,1.0
100,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
101,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
102,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
103,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
104,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
105,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
106,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
107,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
108,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
109,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
110,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
111,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
112,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
113,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
114,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
115,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
116,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
117,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
118,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
119,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
120,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
121,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
122,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
123,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
124,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
125,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
126,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
127,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
128,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
129,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
130,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
131,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
132,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
133,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
134,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
135,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
136,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
137,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
138,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
139,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
140,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
141,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
142,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
143,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
144,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
145,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
146,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
147,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
148,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
149,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
150,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
151,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
152,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
153,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
154,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
155,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
156,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
157,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
158,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
159,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
160,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
161,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
162,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
163,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
164,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
165,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
166,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
167,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
168,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
169,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
170,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
171,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
172,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
173,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
174,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
175,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
176,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
177,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
178,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
179,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
180,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
181,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
182,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
183,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
184,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
185,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
186,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
187,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
188,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
189,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
190,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
191,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
192,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
193,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
194,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
195,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
196,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
197,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
198,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
199,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
