pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,sector_diff,sector_equal,type_of_school_match,r2_school_education_match,overall_similarity
42,1,34.0,34.0,0.0,0.0,1.0,0.0,1,1,1,1.0
159,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
86,1,87.0,87.0,0.0,0.0,1.0,0.0,1,1,1,1.0
112,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
2,1,15.0,15.0,0.0,0.0,1.0,0.0,1,1,1,1.0
88,1,90.0,90.0,0.0,0.0,1.0,0.0,1,1,1,1.0
110,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
147,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
166,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
41,1,33.0,33.0,0.0,0.0,1.0,0.0,1,1,1,1.0
130,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
125,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
183,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
153,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
48,1,40.0,40.0,0.0,0.0,1.0,0.0,1,1,1,1.0
189,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
50,1,42.0,42.0,0.0,0.0,1.0,0.0,1,1,1,1.0
78,1,75.0,75.0,0.0,0.0,1.0,0.0,1,1,1,1.0
98,1,47.0,47.0,0.0,0.0,1.0,0.0,1,1,1,1.0
28,1,18.0,18.0,0.0,0.0,1.0,0.0,1,1,1,1.0
104,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
3,1,24.0,24.0,0.0,0.0,1.0,0.0,1,1,1,1.0
122,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
16,1,4.0,4.0,0.0,0.0,1.0,0.0,1,1,1,1.0
134,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
118,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
64,1,58.0,58.0,0.0,0.0,1.0,0.0,1,1,1,1.0
23,1,12.0,12.0,0.0,0.0,1.0,0.0,1,1,1,1.0
37,1,28.0,28.0,0.0,0.0,1.0,0.0,1,1,1,1.0
135,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
52,1,44.0,44.0,0.0,0.0,1.0,0.0,1,1,1,1.0
103,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
73,1,69.0,69.0,0.0,0.0,1.0,0.0,1,1,1,1.0
17,1,6.0,6.0,0.0,0.0,1.0,0.0,1,1,1,1.0
170,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
87,1,88.0,88.0,0.0,0.0,1.0,0.0,1,1,1,1.0
197,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
19,1,8.0,8.0,0.0,0.0,1.0,0.0,1,1,1,1.0
39,1,30.0,30.0,0.0,0.0,1.0,0.0,1,1,1,1.0
38,1,29.0,29.0,0.0,0.0,1.0,0.0,1,1,1,1.0
35,1,26.0,26.0,0.0,0.0,1.0,0.0,1,1,1,1.0
30,1,20.0,20.0,0.0,0.0,1.0,0.0,1,1,1,1.0
90,1,92.0,92.0,0.0,0.0,1.0,0.0,1,1,1,1.0
161,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
142,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
165,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
84,1,84.0,84.0,0.0,0.0,1.0,0.0,1,1,1,1.0
29,1,19.0,19.0,0.0,0.0,1.0,0.0,1,1,1,1.0
168,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
117,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
67,1,62.0,62.0,0.0,0.0,1.0,0.0,1,1,1,1.0
81,1,81.0,81.0,0.0,0.0,1.0,0.0,1,1,1,1.0
51,1,43.0,43.0,0.0,0.0,1.0,0.0,1,1,1,1.0
5,1,45.0,45.0,0.0,0.0,1.0,0.0,1,1,1,1.0
