pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,age_diff,age_equal,birth_year_diff,birth_year_equal,education_match,marital_status_match,sex_match,religion_match,ethnicity_match,overall_similarity
97,0,,,5.656854249492381,8.0,0.997768367803323,4.0,0,4.0,0,1,1,0,0,1,0.42857142857142855
98,0,,,2.23606797749979,3.0,0.9996864009631498,2.0,0,1.0,0,1,1,0,0,1,0.42857142857142855
99,0,,,4.242640687119285,6.0,0.9987302389175188,3.0,0,3.0,0,0,1,1,1,0,0.42857142857142855
100,0,,,5.656854249492381,8.0,0.9980780379011613,4.0,0,4.0,0,0,0,1,1,1,0.42857142857142855
101,0,,,45.967379738244816,65.0,0.8891697339498824,33.0,0,32.0,0,0,1,1,1,1,0.5714285714285714
102,0,,,2.23606797749979,3.0,0.991997911723619,1.0,0,2.0,0,0,1,1,1,1,0.5714285714285714
103,0,,,6.4031242374328485,9.0,0.9405538996916956,5.0,0,4.0,0,0,1,1,1,1,0.5714285714285714
104,0,,,82.73451516749222,117.0,0.6140195062217415,58.0,0,59.0,0,0,0,1,0,0,0.14285714285714285
105,0,,,1.0,1.0,0.9999946949461405,1.0,0,0.0,1,0,1,1,0,1,0.5714285714285714
106,0,,,4.242640687119285,6.0,0.9989083757203046,3.0,0,3.0,0,0,1,0,1,1,0.42857142857142855
107,0,,,5.656854249492381,8.0,0.997768367803323,4.0,0,4.0,0,0,1,0,1,1,0.42857142857142855
108,0,,,4.242640687119285,6.0,0.9990150416331904,3.0,0,3.0,0,0,1,0,1,1,0.42857142857142855
109,0,,,2.8284271247461903,4.0,0.9904048953654894,2.0,0,2.0,0,1,1,1,0,1,0.5714285714285714
110,0,,,4.242640687119285,6.0,0.9987302389175188,3.0,0,3.0,0,0,1,1,1,0,0.42857142857142855
111,0,,,7.0710678118654755,10.0,0.8729434821372646,5.0,0,5.0,0,0,1,1,1,1,0.5714285714285714
112,0,,,98.02040603874276,100.0,0.2095290887308734,2.0,0,98.0,0,0,1,1,1,1,0.5714285714285714
113,0,,,3.605551275463989,5.0,0.9992163444154916,3.0,0,2.0,0,0,1,0,1,1,0.42857142857142855
114,0,,,2.23606797749979,3.0,0.9877629653290689,2.0,0,1.0,0,0,1,1,0,1,0.42857142857142855
115,0,,,82.00609733428362,101.0,0.9980447252507959,22.0,0,79.0,0,1,1,1,1,1,0.7142857142857143
116,0,,,43.01162633521314,60.0,0.9058711363038314,25.0,0,35.0,0,0,1,1,1,1,0.5714285714285714
117,0,,,5.656854249492381,8.0,0.997768367803323,4.0,0,4.0,0,0,1,0,1,1,0.42857142857142855
118,0,,,2.8284271247461903,4.0,0.999645745626897,2.0,0,2.0,0,1,1,0,0,1,0.42857142857142855
119,0,,,79.90619500389191,113.0,0.6476517177143802,57.0,0,56.0,0,0,0,1,0,0,0.14285714285714285
120,0,,,4.242640687119285,6.0,0.9987743681755402,3.0,0,3.0,0,0,0,1,1,1,0.42857142857142855
121,0,,,5.0,7.0,0.9982390449050826,3.0,0,4.0,0,0,1,1,0,1,0.42857142857142855
122,0,,,2.8284271247461903,4.0,0.9904048953654894,2.0,0,2.0,0,1,1,1,0,1,0.5714285714285714
123,0,,,7.0710678118654755,10.0,0.9967621935758518,5.0,0,5.0,0,0,1,1,0,1,0.42857142857142855
124,0,,,82.00609733428362,101.0,0.9980447252507959,22.0,0,79.0,0,1,1,1,1,1,0.7142857142857143
125,0,,,5.0,7.0,0.9983179786640896,3.0,0,4.0,0,1,0,1,1,0,0.42857142857142855
126,0,,,2.8284271247461903,4.0,0.9904048953654894,2.0,0,2.0,0,1,1,1,0,1,0.5714285714285714
127,0,,,4.242640687119285,6.0,0.9987474408768876,3.0,0,3.0,0,0,0,1,1,1,0.42857142857142855
128,0,,,5.0,7.0,0.9987656343552852,4.0,0,3.0,0,1,0,1,1,0,0.42857142857142855
129,0,,,1.4142135623730951,2.0,0.999913019967425,1.0,0,1.0,0,0,1,1,0,0,0.2857142857142857
130,0,,,5.0,7.0,0.9982390449050826,3.0,0,4.0,0,0,1,1,0,1,0.42857142857142855
131,0,,,4.242640687119285,6.0,0.9987743681755402,3.0,0,3.0,0,0,0,1,1,1,0.42857142857142855
132,0,,,44.553338819890925,63.0,0.894546194072821,32.0,0,31.0,0,0,1,1,1,1,0.5714285714285714
133,0,,,32.526911934581186,46.0,0.9408746819358994,23.0,0,23.0,0,0,1,1,1,1,0.5714285714285714
134,0,,,2.8284271247461903,4.0,0.9828721869343219,2.0,0,2.0,0,0,1,1,0,1,0.42857142857142855
135,0,,,4.242640687119285,6.0,0.9987743681755402,3.0,0,3.0,0,0,0,1,1,1,0.42857142857142855
136,0,,,4.242640687119285,6.0,0.9990150416331904,3.0,0,3.0,0,0,1,0,1,1,0.42857142857142855
137,0,,,83.95236744726142,100.0,0.9996686059265358,18.0,0,82.0,0,1,1,1,1,1,0.7142857142857143
138,0,,,2.23606797749979,3.0,0.998274373174996,2.0,0,1.0,0,0,1,1,1,1,0.5714285714285714
139,0,,,3.605551275463989,5.0,0.9993270713082066,3.0,0,2.0,0,0,1,1,0,1,0.42857142857142855
140,0,,,6.4031242374328485,9.0,0.9405538996916956,5.0,0,4.0,0,0,1,1,1,1,0.5714285714285714
141,0,,,2.23606797749979,3.0,0.998274373174996,2.0,0,1.0,0,0,1,1,1,1,0.5714285714285714
142,0,,,44.553338819890925,63.0,0.894546194072821,32.0,0,31.0,0,0,1,1,1,1,0.5714285714285714
143,0,,,5.656854249492381,8.0,0.9418419105018365,4.0,0,4.0,0,0,1,1,1,1,0.5714285714285714
144,0,,,26.870057685088806,38.0,0.966223491892278,19.0,0,19.0,0,0,1,1,1,1,0.5714285714285714
145,0,,,3.605551275463989,5.0,0.9991305155208083,3.0,0,2.0,0,0,1,1,0,1,0.42857142857142855
146,0,,,5.0,7.0,0.9983179786640896,3.0,0,4.0,0,0,1,0,1,1,0.42857142857142855
147,0,,,45.967379738244816,65.0,0.8891697339498824,33.0,0,32.0,0,0,1,1,1,1,0.5714285714285714
148,0,,,4.242640687119285,6.0,0.9987984612701075,3.0,0,3.0,0,0,1,1,0,1,0.42857142857142855
149,0,,,32.526911934581186,46.0,0.9408746819358994,23.0,0,23.0,0,0,1,1,1,1,0.5714285714285714
150,0,,,1.0,1.0,0.9999274284261899,0.0,1,1.0,0,1,1,1,0,0,0.5714285714285714
151,0,,,2.23606797749979,3.0,0.991997911723619,1.0,0,2.0,0,0,1,1,1,1,0.5714285714285714
152,0,,,32.526911934581186,46.0,0.9408746819358994,23.0,0,23.0,0,0,1,1,1,1,0.5714285714285714
153,0,,,5.656854249492381,8.0,0.997768367803323,4.0,0,4.0,0,1,1,0,0,1,0.42857142857142855
154,0,,,3.605551275463989,5.0,0.9993270713082066,3.0,0,2.0,0,0,1,1,0,1,0.42857142857142855
155,0,,,3.605551275463989,5.0,0.9993270713082066,3.0,0,2.0,0,0,1,0,1,1,0.42857142857142855
156,0,,,4.242640687119285,6.0,0.9706640711883568,3.0,0,3.0,0,0,1,1,1,1,0.5714285714285714
157,0,,,7.0710678118654755,10.0,0.8729434821372646,5.0,0,5.0,0,0,1,1,1,1,0.5714285714285714
158,0,,,3.605551275463989,5.0,0.9828721869343219,2.0,0,3.0,0,1,1,0,1,1,0.5714285714285714
159,0,,,5.656854249492381,8.0,0.9978557614683711,4.0,0,4.0,0,0,1,1,1,0,0.42857142857142855
