pair_index,orig_id,anon_id,label,age_missing,age_diff,age_equal,education_missing,education_diff,education_equal,industry_missing,industry_diff,industry_equal,marital_status_missing,marital_status_diff,marital_status_equal,sex_missing,sex_diff,sex_equal,similarity_score,anon_index,aux_index
247,247,247,1,0,12.0,0.0,0,6.0,0.0,1,1.0,0.0,0,3.0,0.0,0,2.0,0.0,0.0,247,247
1450,1450,1450,0,0,19.0,0.0,0,9.0,0.0,1,1.0,0.0,0,2.0,0.0,0,2.0,0.0,0.0,1450,1450
212,212,212,1,0,17.0,0.0,0,8.0,0.0,1,1.0,0.0,0,2.0,0.0,0,2.0,0.0,0.0,212,212
909,909,909,1,0,0.0,1.0,0,8.0,0.0,1,1.0,0.0,0,0.0,1.0,0,2.0,0.0,0.4,909,909
1741,1741,1741,0,0,2.0,0.0,0,6.0,0.0,1,1.0,0.0,0,1.0,0.0,0,2.0,0.0,0.0,1741,1741
1244,1244,1244,0,0,25.0,0.0,1,1.0,0.0,1,1.0,0.0,0,1.0,0.0,0,0.0,1.0,0.2,1244,1244
1696,1696,1696,0,0,30.0,0.0,0,6.0,0.0,0,49215.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,1696,1696
1182,1182,1182,0,0,2.0,0.0,0,9.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,1182,1182
361,361,361,1,0,7.0,0.0,0,7.0,0.0,0,47110.0,0.0,0,2.0,0.0,0,1.0,0.0,0.0,361,361
1473,1473,1473,0,0,17.0,0.0,0,1.0,0.0,1,1.0,0.0,0,1.0,0.0,0,2.0,0.0,0.0,1473,1473
678,678,678,1,0,32.0,0.0,0,4.0,0.0,0,49227.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,678,678
1621,1621,1621,0,0,23.0,0.0,0,9.0,0.0,0,47104.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,1621,1621
1089,1089,1089,0,0,21.0,0.0,1,1.0,0.0,1,1.0,0.0,0,1.0,0.0,0,2.0,0.0,0.0,1089,1089
1987,1987,1987,0,0,36.0,0.0,0,14.0,0.0,0,84109.0,0.0,0,2.0,0.0,0,1.0,0.0,0.0,1987,1987
1847,1847,1847,0,0,6.0,0.0,0,0.0,1.0,0,96999.0,0.0,0,2.0,0.0,0,1.0,0.0,0.2,1847,1847
987,987,987,1,0,13.0,0.0,0,1.0,0.0,1,1.0,0.0,0,1.0,0.0,0,2.0,0.0,0.0,987,987
1512,1512,1512,0,0,21.0,0.0,0,9.0,0.0,1,1.0,0.0,0,2.0,0.0,0,1.0,0.0,0.0,1512,1512
111,111,111,1,0,10.0,0.0,0,12.0,0.0,0,42094.0,0.0,0,1.0,0.0,0,2.0,0.0,0.0,111,111
1487,1487,1487,0,0,16.0,0.0,0,11.0,0.0,0,25109.0,0.0,0,2.0,0.0,0,1.0,0.0,0.0,1487,1487
1453,1453,1453,0,0,3.0,0.0,0,9.0,0.0,1,1.0,0.0,0,2.0,0.0,0,1.0,0.0,0.0,1453,1453
383,383,383,1,0,18.0,0.0,0,7.0,0.0,0,56101.0,0.0,0,2.0,0.0,0,2.0,0.0,0.0,383,383
1395,1395,1395,0,0,5.0,0.0,0,8.0,0.0,1,1.0,0.0,0,2.0,0.0,0,2.0,0.0,0.0,1395,1395
1054,1054,1054,0,0,38.0,0.0,1,1.0,0.0,1,1.0,0.0,0,1.0,0.0,0,2.0,0.0,0.0,1054,1054
755,755,755,1,0,28.0,0.0,0,12.0,0.0,0,84111.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,755,755
324,324,324,1,0,40.0,0.0,0,2.0,0.0,1,1.0,0.0,0,4.0,0.0,0,2.0,0.0,0.0,324,324
1623,1623,1623,0,0,40.0,0.0,0,9.0,0.0,0,29298.0,0.0,0,1.0,0.0,0,0.0,1.0,0.2,1623,1623
787,787,787,1,0,33.0,0.0,0,17.0,0.0,0,96994.0,0.0,0,2.0,0.0,0,1.0,0.0,0.0,787,787
368,368,368,1,0,0.0,1.0,0,7.0,0.0,0,25106.0,0.0,0,0.0,1.0,0,1.0,0.0,0.4,368,368
1819,1819,1819,0,0,44.0,0.0,0,4.0,0.0,1,1.0,0.0,0,0.0,1.0,0,0.0,1.0,0.4,1819,1819
69,69,69,1,0,59.0,0.0,0,1.0,0.0,1,1.0,0.0,0,4.0,0.0,0,1.0,0.0,0.0,69,69
857,857,857,1,0,0.0,1.0,0,10.0,0.0,1,1.0,0.0,0,0.0,1.0,0,1.0,0.0,0.4,857,857
1483,1483,1483,0,0,6.0,0.0,0,14.0,0.0,1,1.0,0.0,0,2.0,0.0,0,2.0,0.0,0.0,1483,1483
1555,1555,1555,0,0,11.0,0.0,0,1.0,0.0,1,1.0,0.0,0,1.0,0.0,0,0.0,1.0,0.2,1555,1555
