pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,age_diff,age_equal,education_match,marital_status_match,sex_match,overall_similarity
43,1,82.0,81.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
126,0,,,12.0,12.0,1.0,12.0,0,0,1,1,0.5
39,1,75.0,74.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
33,1,65.0,64.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
50,1,15.0,14.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
147,0,,,5.0,5.0,1.0,5.0,0,1,0,1,0.5
37,1,72.0,71.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
1,1,2.0,2.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
65,1,77.0,41.0,20.0,20.0,1.0,20.0,0,1,1,1,0.75
169,0,,,10.0,10.0,1.0,10.0,0,0,1,1,0.5
51,1,18.0,17.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
143,0,,,4.0,4.0,1.0,4.0,0,0,1,1,0.5
161,0,,,3.0,3.0,1.0,3.0,0,0,1,1,0.5
109,0,,,6.0,6.0,1.0,6.0,0,0,1,1,0.5
12,1,20.0,19.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
153,0,,,14.0,14.0,1.0,14.0,0,0,1,1,0.5
46,1,1.0,1.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
26,1,50.0,49.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
