pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,education_diff,education_equal,marital_status_diff,marital_status_equal,sex_diff,sex_equal,age_match,industry_match,overall_similarity,industry_diff,industry_equal,education_match,age_diff,age_equal
60,1,60.0,60.0,8.602325267042627,12.0,0.9931695968516403,8.0,0.0,3.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,1,61.0,61.0,47114.00004245023,47116.0,-0.18883381791617038,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,47114.0,0.0,0.0,0.0,0.0
62,1,62.0,62.0,46413.00021545688,46419.0,-0.10023092829062286,4.0,0.0,2.0,0,0.0,1,0.0,0.0,0.2,46413.0,0.0,0.0,0.0,0.0
63,1,63.0,63.0,8.0,8.0,0.9551668842409458,8.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
64,1,64.0,64.0,4.0,4.0,0.9961017296304553,4.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
65,1,65.0,65.0,1.7320508075688772,3.0,0.9865810386618541,1.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,1,66.0,66.0,4.242640687119285,6.0,0.9984038297885897,4.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,1,67.0,67.0,3.3166247903554,5.0,0.9999999977299046,3.0,0.0,1.0,0,1.0,0,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0
68,1,68.0,68.0,3.0,3.0,0.9941348467724342,3.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
69,1,69.0,69.0,41003.00010974806,41006.0,-0.09546024891184168,3.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,41003.0,0.0,0.0,0.0,0.0
70,1,70.0,70.0,55104.000018147504,55106.0,-0.1089247947872467,1.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,55104.0,0.0,0.0,0.0,0.0
71,1,71.0,71.0,41003.00002438846,41005.0,-0.08052578259510512,1.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,41003.0,0.0,0.0,0.0,0.0
72,1,72.0,72.0,4.0,4.0,0.9959289952477496,4.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
73,1,73.0,73.0,5.0990195135927845,6.0,0.9912407071619304,5.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
74,1,74.0,74.0,3.1622776601683795,4.0,0.6507913734559685,0.0,0.0,3.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,1,75.0,75.0,7508.003329780828,7516.0,0.999999993346269,7.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,7508.0,0.0,0.0,0.0,0.0
76,1,76.0,76.0,2.23606797749979,3.0,0.9945274832335643,2.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
77,1,77.0,77.0,5.0990195135927845,6.0,0.9954039000135861,5.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
78,1,78.0,78.0,10.0,10.0,0.5819143739626463,10.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
79,1,79.0,79.0,14102.000567295408,14106.0,-0.12132033907195283,4.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,14102.0,0.0,0.0,0.0,0.0
80,1,80.0,80.0,47592.00002101193,47594.0,-0.13113536913126822,1.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,47592.0,0.0,0.0,0.0,0.0
