sex,birth_year,birth_month,age,ethnicity,religion,marital_status,curr_educ,education
Female,87,6,32,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 10
Female,8,7,11,Sinhala,Buddhist,Never Married,School,Passed Grade 5
Female,13,1,6,Sinhala,Buddhist,Never Married,School,Studying/Studied Grade 1
Male,68,2,51,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 10
Female,65,7,54,Sinhala,Buddhist,Never Married,Does not attend,No Schooling
Male,84,5,35,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed G.C.E (A/L) or equivalent
Female,89,4,30,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed G.C.E (A/L) or equivalent
Female,19,4,0,Sinhala,Buddhist,Never Married,Does not attend,Passed Grade 10
Female,79,4,40,Sinhala,Buddhist,Currently Married (Registered),Passed Grade 10,Does not attend
Male,81,3,38,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 10
Male,66,11,52,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed G.C.E (A/L) or equivalent
Female,75,5,43,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 10
Male,5,11,13,Sinhala,Buddhist,Never Married,School,Passed Grade 7
Male,12,5,6,Sinhala,Buddhist,Never Married,School,Passed Grade 1
Female,48,6,70,Sinhala,Buddhist,Widowed,Does not attend,Passed Grade 2
Female,97,8,21,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed G.C.E (A/L) or equivalent
Female,98,12,20,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 10
Male,2,4,16,Sinhala,Buddhist,Never Married,Pending G.C.E.(O/L or A/L),Passed Grade 10
Female,43,10,75,Sinhala,Roman Catholic,Widowed,Does not attend,Passed Grade 7
Male,75,8,43,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 3
Female,78,4,40,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 10
Female,1,2,17,Sinhala,Buddhist,Never Married,Does not attend,Passed Grade 10
Male,6,10,12,Sinhala,Buddhist,Never Married,School,Passed Grade 7
Male,15,6,3,Sinhala,Buddhist,Never Married,Does not attend,Passed Grade 10
Male,66,3,52,Sinhala,Roman Catholic,Currently Married (Registered),Does not attend,No Schooling
Female,68,8,50,Sinhala,Roman Catholic,Currently Married (Registered),Does not attend,Passed Grade 1
Male,91,9,27,Sinhala,Roman Catholic,Currently Married (Registered),Does not attend,Passed Grade 7
Female,94,5,24,Sinhala,Roman Catholic,Currently Married (Registered),Does not attend,Passed Grade 10
Male,14,8,4,Sinhala,Roman Catholic,Never Married,Pre School,Passed Grade 10
Female,79,5,39,Sinhala,Buddhist,Legally Separated,Does not attend,Passed Grade 8
Male,97,10,21,Sinhala,Buddhist,Never Married,Does not attend,Passed Grade 10
Female,0,9,18,Sinhala,Buddhist,Never Married,Does not attend,Passed Grade 10
Female,1,3,17,Sinhala,Buddhist,Never Married,Does not attend,Passed G.C.E (O/L) or equivalent
Male,80,5,38,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 6
Female,83,3,35,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 7
Male,3,2,16,Sinhala,Buddhist,Never Married,School,Passed Grade 10
Female,64,6,54,Sinhala,Buddhist,Widowed,Does not attend,No Schooling
Female,62,6,56,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed G.C.E (A/L) or equivalent
Female,36,8,82,Sinhala,Buddhist,Widowed,Does not attend,Passed G.C.E (O/L) or equivalent
Male,57,1,62,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed G.C.E (A/L) or equivalent
Male,77,2,42,Sri Lankan Tamil,Roman Catholic,Currently Married (Registered),Does not attend,Passed Grade 5
Female,79,2,40,Sri Lankan Tamil,Roman Catholic,Currently Married (Registered),Does not attend,Passed Grade 5
Male,99,8,19,Sri Lankan Moors/Muslim,Hindu,Never Married,Does not attend,Passed Grade 8
Male,1,12,17,Sri Lankan Tamil,Roman Catholic,Never Married,School,Passed G.C.E (O/L) or equivalent
Male,63,8,55,Sri Lankan Tamil,Roman Catholic,Currently Married (Registered),Does not attend,Passed Grade 10
Female,72,8,46,Sri Lankan Tamil,Roman Catholic,Currently Married (Registered),Does not attend,Passed Grade 9
Female,92,5,26,Sri Lankan Tamil,Roman Catholic,Never Married,Does not attend,Passed G.C.E (A/L) or equivalent
Female,91,12,27,Sinhala,Roman Catholic,Currently Married (Registered),Does not attend,Passed Grade 12
Male,91,2,28,Sinhala,Roman Catholic,Currently Married (Registered),Does not attend,Passed G.C.E (A/L) or equivalent
Male,17,5,1,Sinhala,Roman Catholic,Never Married,Does not attend,Passed Grade 10
Male,68,6,50,Sinhala,Roman Catholic,Currently Married (Registered),Does not attend,Passed Grade 4
Female,73,3,46,Sinhala,Roman Catholic,Currently Married (Registered),Does not attend,Passed Grade 5
Male,98,4,21,Sinhala,Roman Catholic,Never Married,Does not attend,Passed Grade 10
Male,1,8,17,Sinhala,Roman Catholic,Never Married,Does not attend,Passed Grade 6
Male,53,7,65,Sinhala,Roman Catholic,Currently Married (Registered),Does not attend,Passed Grade 10
