district,sector,month,strata,psu,snumber,hhno,nhh,result,person_serial_no,residence,relationship,sex,birth_year,birth_month,age,registration,ethnicity,religion,marital_status,curr_educ,education,main_activity,is_active,finalweight,B_year
62,1,5,621,162042,9,1,1,1,1,Yes,Head of the household,Male,61,4,58,1,Sri Lankan Moors/Muslim,Islam,Widowed,Does not attend,Passed Grade 6,Engaged in economic activity,Yes,324.7316933,1961
62,2,5,622,162043,1,1,1,1,1,Yes,Head of the household,Male,57,2,62,1,Sinhala,Roman Catholic,Currently Married (Registered),Does not attend,Passed G.C.E (O/L) or equivalent,"Retired (Private, no pension)",No,417.5425383,1957
62,2,5,622,162043,1,1,1,1,2,Yes,Wife/Husband,Female,58,7,60,1,Sinhala,Roman Catholic,Currently Married (Registered),Does not attend,Passed G.C.E (A/L) or equivalent,Student,No,417.5425383,1958
62,2,5,622,162043,1,1,1,1,3,Yes,Son/Daughter,Female,87,11,31,1,Sinhala,Roman Catholic,Currently Married (Registered),Does not attend,Passed Degree,Engaged in economic activity,Yes,417.5425383,1987
62,2,5,622,162043,7,1,1,1,1,Yes,Head of the household,Male,59,5,60,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 8,Engaged in economic activity,Yes,417.5425383,1959
62,2,5,622,162043,7,1,1,1,2,Yes,Wife/Husband,Female,63,4,56,1,Sinhala,Roman Catholic,Currently Married (Registered),Does not attend,Passed Grade 6,Student,No,417.5425383,1963
62,2,5,622,162043,7,1,1,1,3,Yes,Son/Daughter,Female,80,1,39,1,Sinhala,Roman Catholic,Legally Separated,Does not attend,Passed Grade 10,Engaged in economic activity,Yes,417.5425383,1980
62,2,5,622,162043,7,1,1,1,4,Yes,Other Relative,Male,9,6,9,1,Sinhala,Roman Catholic,Never Married,School,Passed Grade 4,Engaged in economic activity,No,417.5425383,2009
62,2,5,622,162043,7,1,1,1,5,Yes,Other Relative,Female,56,3,63,1,Sinhala,Roman Catholic,Never Married,Does not attend,Passed Grade 2,Other,No,417.5425383,1956
62,2,6,622,162044,2,1,1,1,1,Yes,Head of the household,Male,62,12,56,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 4,Engaged in economic activity,Yes,299.270308,1962
62,2,6,622,162044,2,1,1,1,2,Yes,Wife/Husband,Female,63,2,56,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 12,Student,No,299.270308,1963
62,2,6,622,162044,2,1,1,1,3,Yes,Son/Daughter,Male,2,4,17,1,Sinhala,Buddhist,Never Married,Does not attend,Passed Grade 9,"Retired (Private, no pension)",No,299.270308,2002
62,2,6,622,162044,6,1,1,1,1,Yes,Head of the household,Male,63,7,55,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 5,Engaged in economic activity,Yes,299.270308,1963
62,2,6,622,162044,6,1,1,1,2,Yes,Wife/Husband,Female,69,11,49,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 10,Engaged in economic activity,Yes,299.270308,1969
62,2,6,622,162044,6,1,1,1,3,Yes,Son/Daughter,Male,1,4,18,1,Sinhala,Buddhist,Never Married,Does not attend,Passed Grade 10,Engaged in economic activity,Yes,299.270308,2001
62,2,6,622,162044,6,1,1,1,4,Yes,Son/Daughter,Male,7,5,12,1,Sinhala,Buddhist,Never Married,School,Passed Grade 6,Engaged in economic activity,No,299.270308,2007
62,2,6,622,162044,10,1,1,1,1,Yes,Head of the household,Male,62,9,56,1,Sinhala,Buddhist,Widowed,Does not attend,Passed Grade 5,Student,No,299.270308,1962
62,2,6,622,162044,10,1,1,1,2,Yes,Son/Daughter,Female,83,4,36,1,Sinhala,Buddhist,Separated (Not legal),Does not attend,Passed Grade 10,99,No,299.270308,1983
62,2,7,622,162045,4,1,1,1,1,Yes,Head of the household,Male,66,10,52,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 2,Engaged in economic activity,Yes,324.5991752,1966
