district,sector,month,psu,snumber,hhno,nhh,result,person_serial_no,residence,relationship,sex,birth_year,birth_month,age,registration,ethnicity,religion,marital_status,curr_educ,education,main_activity,is_active,main_occupation,industry,employment_status,uresidencf,live,finalweight,B_year
11,*,1,11,1,1,1,1,6,1,7,*,11,5,*,1,1,1,*,9.0,*,1.0,1.0,3111.0,*,1.0,,,271.9852019,11
11,*,1,11,1,1,1,1,7,1,7,*,11,4,*,1,1,1,*,9.0,*,1.0,1.0,4110.0,*,1.0,,,271.9852019,11
11,*,1,11,2,1,1,1,1,1,1,*,11,8,*,1,1,1,*,9.0,*,1.0,1.0,4321.0,*,3.0,,,271.9852019,11
11,*,1,11,2,1,1,1,2,1,2,*,11,5,*,1,1,1,*,9.0,*,1.0,1.0,4311.0,*,3.0,,,271.9852019,11
11,Bin_1,1,11,2,1,1,1,3,1,3,Bin_1,11,3,Bin_1,1,1,1,Bin_1,2.0,Bin_1,,,,,,,,271.9852019,11
11,*,1,11,3,1,1,1,1,1,1,*,11,1,*,1,1,1,*,9.0,*,1.0,1.0,7421.0,*,5.0,,,271.9852019,11
11,*,1,11,3,1,1,1,2,1,2,*,11,8,*,1,1,1,*,9.0,*,1.0,1.0,9112.0,*,6.0,,,271.9852019,11
11,*,1,11,3,1,1,1,3,1,3,*,11,11,*,1,1,1,*,4.0,*,1.0,1.0,3511.0,*,1.0,,,271.9852019,11
11,Bin_1,1,11,3,1,1,1,4,1,3,Bin_5,11,1,Bin_1,1,1,1,Bin_1,6.0,Bin_3,8.0,2.0,,,,,,271.9852019,11
11,Bin_1,1,11,3,1,1,1,5,1,3,Bin_5,11,3,Bin_1,1,1,1,Bin_1,2.0,Bin_2,,,,,,,,271.9852019,11
11,Bin_1,1,11,3,1,1,1,6,1,4,Bin_5,11,9,Bin_4,1,1,1,Bin_3,9.0,Bin_4,9.0,2.0,,,,,,271.9852019,11
11,Bin_1,1,11,4,1,1,1,1,1,1,Bin_5,11,3,Bin_3,1,1,1,Bin_1,9.0,Bin_4,7.0,2.0,,,,,,271.9852019,11
11,Bin_1,1,11,4,1,1,1,2,2,2,Bin_1,11,5,Bin_3,1,1,1,Bin_1,9.0,Bin_4,,,,,,2.0,1.0,271.9852019,11
11,Bin_1,1,11,4,1,1,1,3,1,3,Bin_1,11,12,Bin_1,1,1,1,Bin_1,2.0,Bin_1,,,,,,,,271.9852019,11
11,Bin_1,1,11,4,1,1,1,4,1,3,Bin_1,11,2,Bin_1,1,1,1,Bin_1,1.0,,,,,,,,,271.9852019,11
11,Bin_1,1,11,4,1,1,1,5,1,5,Bin_1,11,10,Bin_4,1,1,1,Bin_1,9.0,Bin_3,4.0,2.0,,,,,,271.9852019,11
11,*,1,11,5,1,1,1,1,1,1,*,11,7,*,1,1,1,*,9.0,*,1.0,1.0,1321.0,*,5.0,,,271.9852019,11
11,*,1,11,5,1,1,1,2,1,2,*,11,8,*,1,1,1,*,9.0,*,1.0,1.0,9112.0,*,6.0,,,271.9852019,11
11,Bin_1,1,11,5,1,1,1,3,1,3,Bin_5,11,7,Bin_1,1,1,1,Bin_1,2.0,Bin_2,,,,,,,,271.9852019,11
11,Bin_1,1,11,5,1,1,1,4,1,3,Bin_5,11,11,Bin_1,1,1,1,Bin_1,2.0,Bin_2,,,,,,,,271.9852019,11
11,Bin_1,1,11,5,1,1,1,5,1,4,Bin_1,11,11,Bin_5,1,1,1,Bin_1,9.0,Bin_3,9.0,2.0,,,,,,271.9852019,11
11,Bin_1,1,11,5,1,1,1,6,1,4,Bin_5,11,2,Bin_4,1,1,1,Bin_1,9.0,Bin_3,7.0,2.0,,,,,,271.9852019,11
11,*,1,11,6,1,1,1,1,1,1,*,11,9,*,1,1,1,*,9.0,*,1.0,1.0,3322.0,*,3.0,,,271.9852019,11
11,*,1,11,6,1,1,1,2,1,2,*,11,6,*,1,1,1,*,9.0,*,1.0,1.0,3341.0,*,3.0,,,271.9852019,11
11,Bin_1,1,11,6,1,1,1,3,1,3,Bin_1,11,12,Bin_1,1,1,1,Bin_1,2.0,Bin_1,,,,,,,,271.9852019,11
11,Bin_1,1,11,6,1,1,1,4,1,3,Bin_1,11,8,Bin_1,1,1,1,Bin_1,,,,,,,,,,271.9852019,11
11,*,1,11,6,1,1,1,5,1,6,*,11,1,*,1,1,1,*,9.0,*,1.0,1.0,9111.0,*,3.0,,,271.9852019,11
11,*,1,11,7,1,1,1,1,1,1,*,11,11,*,1,1,1,*,9.0,*,1.0,1.0,7531.0,*,3.0,,,271.9852019,11
