district,sector,month,psu,snumber,hhno,nhh,result,person_serial_no,residence,relationship,sex,birth_year,birth_month,age,registration,ethnicity,religion,marital_status,curr_educ,education,main_activity,is_active,main_occupation,industry,employment_status,uresidencf,live,finalweight,B_year
11,1,1,111004,8,1,1,1,7,1,5,1,87,6,31,1,1,1,2,9.0,8.0,1.0,1.0,9122.0,33150.0,3.0,,,271.9852019,1987
11,1,1,111004,9,1,1,1,1,1,1,1,47,2,71,1,1,1,2,9.0,10.0,5.0,2.0,,,,,,271.9852019,1947
11,1,1,111004,9,1,1,1,2,1,2,2,62,2,56,1,1,1,2,9.0,8.0,7.0,2.0,,,,,,271.9852019,1962
11,1,1,111004,10,1,1,1,1,1,1,1,70,1,49,1,1,4,2,9.0,11.0,99.0,2.0,,,,,,271.9852019,1970
11,1,1,111004,10,1,1,1,2,1,2,2,70,10,48,1,1,4,2,9.0,13.0,1.0,1.0,2411.0,42101.0,2.0,,,271.9852019,1970
11,1,1,111004,10,1,1,1,3,1,3,2,1,10,17,1,1,4,1,2.0,11.0,8.0,2.0,,,,,,271.9852019,2001
11,1,1,111004,10,1,1,1,4,1,3,2,9,9,9,1,1,4,1,2.0,4.0,,,,,,,,271.9852019,2009
11,1,1,111045,1,1,1,1,1,1,1,1,76,3,42,1,1,1,2,9.0,15.0,1.0,1.0,1213.0,81309.0,3.0,,,361.6920328,1976
11,1,1,111045,1,1,1,1,2,1,2,2,77,7,41,1,1,1,2,9.0,13.0,1.0,1.0,4110.0,84120.0,1.0,,,361.6920328,1977
11,1,1,111045,1,1,1,1,3,1,3,1,17,11,1,1,1,1,1,,,,,,,,,,361.6920328,2017
11,1,1,111045,2,1,1,1,1,1,1,1,66,1,53,1,1,1,4,9.0,8.0,1.0,1.0,8122.0,25931.0,3.0,,,361.6920328,1966
11,1,1,111045,5,1,1,1,1,1,1,2,79,11,39,1,1,1,2,9.0,5.0,7.0,2.0,,,,,,361.6920328,1979
11,1,1,111045,5,1,1,1,2,1,2,1,74,5,44,1,1,1,2,9.0,5.0,1.0,1.0,7116.0,41001.0,3.0,,,361.6920328,1974
11,1,1,111045,5,1,1,1,3,1,3,2,0,6,18,1,1,1,1,2.0,12.0,8.0,2.0,,,,,,361.6920328,2000
11,1,1,111045,5,1,1,1,4,1,3,2,13,6,5,1,1,1,1,2.0,0.0,,,,,,,,361.6920328,2013
11,1,1,111045,5,1,1,1,5,1,3,2,16,1,3,1,1,1,1,1.0,,,,,,,,,361.6920328,2016
11,1,1,111045,6,1,1,1,1,1,1,1,70,3,48,1,1,1,2,9.0,10.0,1.0,1.0,1321.0,17025.0,4.0,,,361.6920328,1970
11,1,1,111045,6,1,1,1,2,1,2,2,72,5,46,1,1,1,2,9.0,11.0,2.0,1.0,7319.0,17025.0,6.0,,,361.6920328,1972
11,1,1,111045,6,1,1,1,3,1,3,1,2,12,16,1,1,1,1,2.0,11.0,8.0,2.0,,,,,,361.6920328,2002
11,1,1,111045,6,1,1,1,4,1,3,2,13,8,5,1,1,1,1,2.0,0.0,,,,,,,,361.6920328,2013
11,1,1,111045,7,1,1,1,1,1,1,1,75,12,43,1,1,1,2,9.0,10.0,1.0,1.0,8122.0,25931.0,3.0,,,361.6920328,1975
11,1,1,111045,7,1,1,1,2,1,2,2,76,5,42,1,1,1,2,9.0,10.0,7.0,2.0,,,,,,361.6920328,1976
11,1,1,111045,7,1,1,1,3,1,3,1,1,8,17,1,1,1,1,2.0,11.0,8.0,2.0,,,,,,361.6920328,2001
11,1,1,111045,7,1,1,1,4,1,3,1,8,10,10,1,1,1,1,2.0,5.0,,,,,,,,361.6920328,2008
11,1,1,111045,8,1,1,1,1,1,1,2,74,6,44,1,1,1,4,9.0,10.0,1.0,1.0,9321.0,46209.0,3.0,,,361.6920328,1974
11,1,1,111045,8,1,1,1,2,1,3,2,96,6,22,1,1,1,1,9.0,11.0,1.0,1.0,8152.0,14101.0,3.0,,,361.6920328,1996
11,1,1,111045,8,1,1,1,3,1,3,1,0,5,18,1,1,1,1,2.0,12.0,8.0,2.0,,,,,,361.6920328,2000
11,1,1,111045,8,1,1,1,4,1,3,2,8,4,10,1,1,1,1,2.0,5.0,,,,,,,,361.6920328,2008
11,1,1,111045,8,1,1,1,5,1,5,2,55,1,64,1,1,1,4,9.0,9.0,7.0,2.0,,,,,,361.6920328,1955
11,1,1,111045,9,1,1,1,1,1,1,1,59,3,59,1,1,1,2,9.0,11.0,1.0,1.0,4311.0,22203.0,3.0,,,361.6920328,1959
11,1,1,111045,9,1,1,1,2,1,2,2,61,1,58,1,1,1,2,9.0,13.0,7.0,2.0,,,,,,361.6920328,1961
11,1,1,111045,9,1,1,1,3,1,3,2,2,3,16,1,1,1,1,2.0,10.0,8.0,2.0,,,,,,361.6920328,2002
11,1,1,111045,10,1,1,1,1,1,1,1,37,11,81,1,1,1,2,9.0,7.0,5.0,2.0,,,,,,361.6920328,1937
11,1,1,111045,10,1,1,1,2,1,2,2,46,7,72,1,1,1,2,9.0,7.0,7.0,2.0,,,,,,361.6920328,1946
11,1,1,111002,1,1,1,1,1,1,1,1,68,4,50,1,1,1,2,9.0,11.0,1.0,1.0,6121.0,1411.0,5.0,,,436.4627395,1968
