district,sector,month,psu,snumber,hhno,nhh,result,person_serial_no,r2_school_education,type_of_school,grade_this_year,grade_last_year,distance,transport_medium,time_to_school,noschooling_reason,reason_leave_school,when_stop_schooling
11,1-2,1,PSU_RECODED_565,Grade 7,*,1,Walking,4,School too far away,_missing_,10,9,16,5,30, , , 
11,1-2,4,PSU_RECODED_OTHER,Grade 3,*,1,Walking,3,School too far away,_missing_,2,1,2,5,10, , , 
11,1-2,8,PSU_RECODED_OTHER,Grade 1,*,1,Walking,3,School too far away,_missing_,7,6,5,3,15, , , 
11,1,1,PSU_RECODED_OTHER,Grade 5,*,1,Walking,3,School too far away,_missing_,10,8,0,1,15, , , 
11,1,8,PSU_RECODED_367,Grade 4,*,1,Walking,3,School too far away,_missing_,11,10,3,3,15, , , 
11,1,8,PSU_RECODED_367,Grade 4,*,1,Walking,4,School too far away,_missing_,9,8,3,3,15, , , 
11,1,8,PSU_RECODED_367,Grade 9,*,1,Walking,4,School too far away,_missing_,6,5,12,5,60, , , 
11,1,1,PSU_RECODED_455,Grade 4,*,1,Walking,3,School too far away,_missing_,10,9,2,5,45, , , 
11,1,1,PSU_RECODED_455,Grade 4,*,1,Walking,4,School too far away,_missing_,5,4,2,5,45, , , 
11,1,1,PSU_RECODED_455,Grade 9,*,1,Walking,3,School too far away,_missing_,12,10,2,6,45, , , 
11,1,1,PSU_RECODED_455,Grade 9,*,1,Walking,4,School too far away,_missing_,9,8,2,2,20, , , 
11,1,1,PSU_RECODED_455,Grade 9,*,1,Walking,5,School too far away,_missing_,4,3,6,5,30, , , 
11,1,8,PSU_RECODED_OTHER,Grade 3,*,1,Walking,3,School too far away,_missing_,7,6,5,5,60, , , 
11,1,8,PSU_RECODED_OTHER,Grade 3,*,1,Walking,4,School too far away,_missing_,3,2,5,5,60, , , 
11,1,8,PSU_RECODED_OTHER,Grade 7,*,1,Walking,3,School too far away,_missing_,5,4,0,1,10, , , 
11,1,8,PSU_RECODED_OTHER,Grade 7,*,1,Walking,4,School too far away,_missing_,4,3,0,1,10, , , 
11,1,4,PSU_RECODED_OTHER,Grade 8,*,1,Walking,8,School too far away,_missing_,3,2,3,2,20, , , 
