pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,age_diff,age_equal,birth_year_diff,birth_year_equal,birth_month_diff,birth_month_equal,education_match,marital_status_match,sex_match,ethnicity_match,religion_match,overall_similarity,attack_score
59,1,36.0,36.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
60,1,37.0,37.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
61,1,39.0,39.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
62,1,41.0,41.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
63,1,42.0,42.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
64,1,46.0,46.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
65,1,48.0,48.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
66,1,50.0,50.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
67,1,53.0,52.0,6.164414002968976,8.0,0.9569321102069628,1.0,0,1.0,0,6.0,0,0,1,1,1,1,0.5,0.40112063026244466
68,1,55.0,55.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
69,1,57.0,57.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
70,1,58.0,58.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
71,1,59.0,59.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
72,1,62.0,62.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
73,1,66.0,66.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
74,1,67.0,67.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
75,1,68.0,68.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
76,1,72.0,72.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
77,1,77.0,87.0,4.123105625617661,5.0,0.998954706590238,0.0,1,1.0,0,4.0,0,0,1,1,1,0,0.5,0.38738100487127136
78,0,,,6.48074069840786,10.0,0.9975914847443916,4.0,0,5.0,0,1.0,0,0,1,1,0,1,0.375,0.13626932473138328
79,0,,,1.4142135623730951,2.0,0.9999135799520368,1.0,0,1.0,0,0.0,1,0,1,1,0,0,0.375,0.14495038198923696
80,0,,,12.727922061357855,18.0,0.9889898009640532,9.0,0,9.0,0,0.0,1,0,1,0,1,1,0.5,0.09347171048526892
81,0,,,91.44397191723463,100.0,0.5595724447202213,9.0,0,91.0,0,0.0,1,0,1,1,1,1,0.625,0.03643115777339376
82,0,,,91.44397191723463,100.0,0.5595724447202213,9.0,0,91.0,0,0.0,1,0,1,1,1,1,0.625,0.03643115777339376
83,0,,,9.9498743710662,15.0,0.99310220401898,7.0,0,7.0,0,1.0,0,0,1,0,1,1,0.375,0.05791613810597016
84,0,,,6.48074069840786,10.0,0.9975914847443916,4.0,0,5.0,0,1.0,0,0,1,1,0,1,0.375,0.13626932473138328
85,0,,,32.07802986469088,49.0,0.9431426404063946,22.0,0,23.0,0,4.0,0,0,1,1,1,1,0.5,0.0863187527541014
86,0,,,10.63014581273465,15.0,0.9943932943270188,8.0,0,7.0,0,0.0,1,0,1,1,1,0,0.5,0.2297005978172791
87,0,,,20.518284528683196,29.0,0.4087700137316487,15.0,0,14.0,0,0.0,1,0,1,1,1,1,0.625,0.23909098877317334
